Feature,Wasserstein_Distance,JS_Distance
fwd_byts_b_avg,1182.31031025261,0.07618237985723421
flow_pkts_s,108.00881467409981,0.1219506410268689
psh_flag_cnt,8.079701466383817,0.13448715108413403
flow_byts_s,11928.719135962496,0.16514676528118363
pkt_len_var,201414.6987836051,0.24486651613946414
fwd_psh_flags,9.664306892801566,0.24714774672481918
pkt_len_std,133.400786366171,0.2549729127054714
fwd_pkt_len_max,698.2209488469432,0.2746175235772152
fwd_pkt_len_mean,80.84070851739337,0.2757557749754351
pkt_len_mean,60.42657521032373,0.2780997928252358
bwd_pkt_len_mean,95.94671511386375,0.2901335851494995
bwd_pkt_len_max,253.05017873670243,0.33154494667684614
init_bwd_win_byts,20163.577769417272,0.4604752579195785
pkt_len_min,12.1851519754905,0.4991913798046228
init_fwd_win_byts,22077.82747790357,0.5101488524176245
fwd_pkt_len_min,14.227973607259788,0.5250707670259435
