Feature,Wasserstein_Distance,JS_Distance
pkt_len_var,285347.86842302326,0.07369705309610375
flow_byts_s,41307.399022357735,0.0798368346664392
fwd_byts_b_avg,8537.316499501052,0.09639415110723953
psh_flag_cnt,10.14696553558503,0.15066342379488645
flow_pkts_s,145.0062489462217,0.20702943782322672
fwd_psh_flags,6.634622302406721,0.24124735031177105
bwd_pkt_len_mean,137.26868638510967,0.24931597079683976
bwd_pkt_len_max,198.78050580752256,0.2955241674206244
pkt_len_std,149.33538751160165,0.32054791880445993
fwd_pkt_len_max,2285.8391991601175,0.36555054575689727
init_bwd_win_byts,25378.512838008817,0.47380220063083933
pkt_len_mean,180.11254837282573,0.5088177954246771
init_fwd_win_byts,28358.19519891147,0.52344683548348
fwd_pkt_len_mean,1496.3462495782358,0.5235758145248223
pkt_len_min,41.782504984660534,0.639662652200786
fwd_pkt_len_min,563.9370557253972,0.7002716743791885
