Feature,Wasserstein_Distance,KS_Statistic
bwd_pkt_len_max,374.7985993326961,0.2900188323917137
pkt_len_std,85.32281822186235,0.29486747055682044
bwd_pkt_len_mean,181.89226565829085,0.311152068551512
flow_byts_s,58330.96162588645,0.3605158228229314
flow_pkts_s,520.7135906658091,0.37907918036933974
pkt_len_var,111198.17235308007,0.408197109689647
pkt_len_mean,112.16689657457837,0.45600287505169873
init_bwd_win_byts,24792.96025730374,0.4952919020715631
psh_flag_cnt,14.773832126342528,0.5263653483992468
init_fwd_win_byts,28953.18965749723,0.5418910291159216
fwd_psh_flags,9.921073651101413,0.5470809792843692
fwd_pkt_len_max,1061.9359871615088,0.5833764992631676
fwd_pkt_len_mean,328.5015763436367,0.5967900609944627
fwd_byts_b_avg,40797.76875497814,0.9171374764595104
fwd_pkt_len_min,213.28904887054233,0.9323439300671782
pkt_len_min,199.72693581381031,0.9626002353045106
