pkt_len_mean,fwd_pkt_len_mean,bwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,pkt_len_min,fwd_pkt_len_min,pkt_len_var,pkt_len_std,fwd_byts_b_avg,flow_byts_s,flow_pkts_s,init_bwd_win_byts,init_fwd_win_byts,fwd_psh_flags,psh_flag_cnt,Label
82.0,82.0,0.0,82,0,82,82,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
82.0,82.0,0.0,82,0,82,82,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,3673.089401077665,16.92667926763901,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1547.043081786691,7.206722430683341,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,3658.093247296192,17.04080705262201,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,6147.900930967856,29.27571871889455,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1551.5604747196833,7.227766186582375,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,3280.7763824855447,15.28311979418732,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1249.6846680767665,5.8215124289290365,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
61.16666666666666,54.0,68.33333333333333,54,85,54,54,120.80555555555556,10.991158062531698,0.0,10501.316241272749,171.68364427148907,65535,63153,0,1,0
61.16666666666666,54.0,68.33333333333333,54,85,54,54,120.80555555555556,10.991158062531698,0.0,9548.340097824956,156.10365282547613,65535,63137,0,1,0
61.16666666666666,54.0,68.33333333333333,54,85,54,54,120.80555555555556,10.991158062531698,0.0,9763.494639389184,159.62116576658065,65535,63153,0,1,0
61.16666666666666,54.0,68.33333333333333,54,85,54,54,120.80555555555556,10.991158062531698,0.0,9890.317190826529,161.69455897809038,65535,63137,0,1,0
61.4,54.0,72.5,54,85,54,54,144.64,12.026637102698324,0.0,8850.833189182955,144.1503776739895,65535,63153,0,1,0
61.16666666666666,54.0,68.33333333333333,54,85,54,54,120.80555555555556,10.991158062531698,0.0,10329.299183788347,168.87137630171685,65535,63533,0,1,0
61.16666666666666,54.0,68.33333333333333,54,85,54,54,120.80555555555556,10.991158062531698,0.0,9601.800010465178,156.97765684684214,65535,63533,0,1,0
217.3333333333333,146.0,360.0,146,360,146,146,10176.888888888889,100.88056744928078,0.0,1254.128332721016,5.770529138286884,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,1294.6340501085026,6.164924048135727,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
228.3333333333333,146.0,393.0,146,393,146,146,13557.555555555557,116.43691663538485,0.0,1184.850518566694,5.189126358686252,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1220.6532276058883,5.6251300811331255,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1204.527246184276,5.550816802692516,0,0,0,0,0
