Feature,Wasserstein_Distance,KS_Statistic
flow_byts_s,46332.40265658399,0.21658536585365853
pkt_len_var,98436.80896996829,0.33233270794246406
bwd_pkt_len_mean,211.38938802780785,0.33906191369606004
pkt_len_std,148.50284632216975,0.34146341463414637
flow_pkts_s,194.67215071755393,0.36365228267667293
bwd_pkt_len_max,466.1688290222138,0.39494684177611006
pkt_len_mean,122.72461706717274,0.41776110068792993
fwd_pkt_len_max,1490.3365064120826,0.4664165103189493
fwd_pkt_len_mean,199.3044946201281,0.5406879299562226
init_fwd_win_byts,16410.666464388592,0.6517073170731708
pkt_len_min,39.532965222163845,0.6678173858661663
init_bwd_win_byts,19674.68703681383,0.6819512195121952
psh_flag_cnt,10.892384213643098,0.7190243902439024
fwd_psh_flags,8.900339879807209,0.7219512195121951
fwd_pkt_len_min,64.28363354454034,0.8345215759849907
fwd_byts_b_avg,10909.942687306391,0.8448780487804878
