Feature,Wasserstein_Distance,KS_Statistic
flow_pkts_s,248.05500604591907,0.17947941258322905
pkt_len_min,55.34048936076867,0.35113240731450124
psh_flag_cnt,225.17917934310344,0.36796564251785746
bwd_pkt_len_mean,334.14898139587575,0.3820850001230569
bwd_pkt_len_max,374.1271942341952,0.38359576002771617
fwd_pkt_len_max,426.7350786674441,0.3894778791051303
fwd_psh_flags,210.19784423270247,0.42473746286995157
flow_byts_s,602351.0941853825,0.46791907022004464
fwd_pkt_len_mean,439.971611979932,0.4959287103070553
fwd_byts_b_avg,447069.2883850867,0.5605875303619198
pkt_len_std,248.1612566172293,0.5654530102553714
pkt_len_mean,409.7626062922176,0.6082872185547064
pkt_len_var,193446.09204134994,0.6219266543104933
fwd_pkt_len_min,227.50936975276926,0.6953196733880967
init_bwd_win_byts,52507.538236639826,0.8429642699602999
init_fwd_win_byts,53341.55183089322,0.8780326422584914
