epoch,d_loss,g_loss,std_w1,corr_dist,score
1,4.13706584545699,-1.2087279603901235,,,
2,0.2597583881156011,-1.4514655741778286,,,
3,-0.18074942312457346,0.08070905371145769,,,
4,-1.5388082347132943,1.803713159127669,,,
5,-2.1708594018762764,1.5607342720031738,0.36590336632331605,0.21533169336847768,0.5812350596917937
6,-2.2350461266257544,0.36040641452101146,,,
7,-2.144332631067796,-0.07990878651087935,,,
8,-2.09578721631657,-0.19190344282171942,,,
9,-2.117856036533009,0.09578233246098865,,,
10,-2.1628227071328596,0.17338605292818762,0.26293365901849874,0.20159460465283113,0.4645282636713299
11,-2.192349981177937,0.22549371218139475,,,
12,-2.2277456792918118,0.36163782150569285,,,
13,-2.3106946891004387,0.5467855009165677,,,
14,-2.330847377126867,0.9193489226427946,,,
15,-2.368548572063446,1.3790476078336888,0.2352805198529091,0.19924179457148194,0.43452231442439104
16,-2.4829088991338555,1.5757016810503872,,,
17,-2.471153974533081,1.778208613395691,,,
18,-2.471325560049577,2.1020895459435205,,,
19,-2.5473930835723877,2.069820295680653,,,
20,-2.584510933269154,2.3349858955903486,0.2646932337768958,0.19461680278162036,0.45931003655851615
21,-2.592314134944569,2.3309092088179155,,,
22,-2.6908341321078213,2.435781175440008,,,
23,-2.743278991092335,2.4198315793817695,,,
24,-2.7035600488836113,2.4767146327278833,,,
25,-2.7181599140167236,2.527874231338501,0.2779706032022544,0.1915580038426779,0.4695286070449323
26,-2.6690702871842817,2.1672672141682017,,,
27,-2.7352195544676348,2.5006920857862993,,,
28,-2.805405714295127,2.2277765815908257,,,
29,-2.766550053249706,2.312097191810608,,,
30,-2.768870884721929,2.12278996814381,0.2826336539690079,0.17199394539395219,0.4546275993629601
31,-2.7879542979327114,2.0845248807560313,,,
32,-2.8195113702253862,2.5331343087283047,,,
33,-2.8701815496791494,2.548049720850858,,,
34,-2.8602805787866767,2.471311092376709,,,
35,-2.840483719652349,2.5472153533588755,0.29181266103426395,0.17514249446545938,0.46695515549972333
36,-2.8561570210890337,2.4948189475319604,,,
37,-2.8302100246602837,2.1260520219802856,,,
38,-2.93614615093578,2.401905558326028,,,
39,-2.8920925855636597,2.4197009693492544,,,
40,-2.8898760080337524,2.5721797943115234,0.2596306323327545,0.18142984823709266,0.44106048056984715
41,-2.8755252144553443,2.4609952731565996,,,
42,-2.8923787745562466,2.4416584968566895,,,
43,-2.938205762342973,2.1580863432450728,,,
44,-2.9360233436931265,2.155689228664745,,,
45,-2.934199484911832,2.158368154005571,0.29364988468745656,0.17944103598685418,0.47309092067431074
