Feature,Wasserstein_Distance,KS_Statistic
flow_byts_s,42625.079044396094,0.22427035330261136
bwd_pkt_len_max,467.50757697455515,0.297483827697367
bwd_pkt_len_mean,152.62589690734842,0.31080996448413173
pkt_len_std,133.7934133427822,0.3159864677595852
pkt_len_mean,127.73507921095057,0.34305778075356497
pkt_len_var,183968.97567314503,0.37407466872542555
flow_pkts_s,77.36664653030584,0.43137033861345775
fwd_pkt_len_max,1344.71584392028,0.53383686385432
init_fwd_win_byts,23000.191809703712,0.5391705069124424
fwd_pkt_len_mean,253.94188194085348,0.5448730868516134
init_bwd_win_byts,27332.361011225945,0.5591397849462365
psh_flag_cnt,119.40798960442,0.6063386544507566
fwd_psh_flags,42.35247210772549,0.6954801815989314
pkt_len_min,42.19102022601483,0.7124467233508578
fwd_byts_b_avg,15260.529515693137,0.8709677419354839
fwd_pkt_len_min,91.41318888526177,0.8918627782541315
