Feature,Wasserstein_Distance,KS_Statistic
bwd_pkt_len_mean,137.26868638510967,0.26276195593766793
bwd_pkt_len_max,198.78050580752256,0.26276195593766793
flow_byts_s,41307.399022357735,0.2982576861670255
pkt_len_std,149.33538751160165,0.36736650443213403
pkt_len_var,285347.86842302326,0.3699333923511379
flow_pkts_s,145.0062489462217,0.3782719122928417
init_fwd_win_byts,28358.19519891147,0.5061794734013971
pkt_len_mean,180.11254837282573,0.5434959931034217
init_bwd_win_byts,25378.512838008817,0.553465878559914
fwd_pkt_len_max,2285.8391991601175,0.5829039079322249
psh_flag_cnt,10.14696553558503,0.5857066093498119
fwd_psh_flags,6.634622302406721,0.6324556689951639
pkt_len_min,41.782504984660534,0.7169426200039432
fwd_pkt_len_mean,1496.3462495782358,0.8014527657830748
fwd_byts_b_avg,8537.316499501052,0.9108006448146158
fwd_pkt_len_min,563.9370557253972,0.9707745893559199
