epoch,d_loss,g_loss,std_w1,corr_dist,score
1,7.081737399101257,0.012061860101918379,,,
2,0.8274000485738119,0.5192108203967413,,,
3,-0.1424941917260488,1.4596936603387196,,,
4,-0.6911942859490713,2.458977301915487,,,
5,-1.2753978023926418,3.1148483753204346,0.3192259737853323,0.21806326047349783,0.5372892342588301
6,-1.4690555036067963,2.14904793103536,,,
7,-1.3952440122763317,1.3999779125054677,,,
8,-1.333237846692403,0.14326068138082823,,,
9,-1.3966579635938008,-0.24972308427095413,,,
10,-1.4508491059144337,-0.40953630457321805,0.3068473668772954,0.245212873005623,0.5520602398829184
11,-1.4728825589021046,-0.7931031485398611,,,
12,-1.4962903956572216,-0.21602006256580353,,,
13,-1.578004390001297,-0.7492518611252308,,,
14,-1.5605691969394684,-0.5095872581005096,,,
15,-1.601410021384557,-0.35068195313215256,0.2640184389183115,0.22620426691505943,0.4902227058333709
16,-1.70223934451739,-0.24604132026433945,,,
17,-1.7870384355386097,0.01486132045586904,,,
18,-1.852503587802251,-0.3826059587299824,,,
19,-1.9220820466677349,0.058963956932226815,,,
20,-1.9322926998138428,0.013137514392534891,0.24619838472002528,0.22831857049112264,0.4745169552111479
21,-1.9592856466770172,0.8030212670564651,,,
22,-2.027162472407023,0.7270520677169164,,,
23,-2.0784989098707833,0.9432661185661951,,,
24,-2.114946981271108,0.9451231559117635,,,
25,-2.0635317166646323,1.0762020349502563,0.25440656061357814,0.218214884162878,0.4726214447764561
26,-2.125389019648234,0.9612795648475488,,,
27,-2.2066438297430673,0.9226236939430237,,,
28,-2.178884049256643,0.7539405077695847,,,
29,-2.2476324836413064,1.1332906186580658,,,
30,-2.289227386315664,1.2546686331431072,0.2745232199356411,0.2332895508333825,0.5078127707690236
31,-2.335923731327057,1.1663980931043625,,,
32,-2.258248448371887,1.0166639188925426,,,
33,-2.280431946118673,1.405558357636134,,,
34,-2.3864516814549765,1.150455762942632,,,
35,-2.3314899802207947,0.9897060245275497,0.287114970961028,0.2295176850018551,0.5166326559628831
36,-2.3575474421183267,1.1583655377229054,,,
37,-2.4124069015185037,1.5216673215230305,,,
38,-2.4476952850818634,1.4705668290456135,,,
39,-2.4776806831359863,1.5606468717257183,,,
40,-2.4433300495147705,1.2524600476026535,0.27700962438315413,0.20892685347890821,0.48593647786206234
41,-2.475860148668289,1.3902306854724884,,,
42,-2.438948472340902,1.5245238145192463,,,
43,-2.530734419822693,1.1961763799190521,,,
44,-2.4694933891296387,1.3009993334611256,,,
45,-2.558193782965342,1.5104066332181294,0.28936207703385636,0.2281604454637443,0.5175225224976007
46,-2.511667529741923,1.7820591926574707,,,
47,-2.462142805258433,1.4409160614013672,,,
48,-2.5345144867897034,1.6569375197092693,,,
49,-2.5167619585990906,1.3091546694437664,,,
50,-2.521611432234446,1.4710323512554169,0.29272048069797485,0.23017425136346384,0.5228947320614387
51,-2.465191831191381,1.7682337363560994,,,
52,-2.6569169958432517,1.4083302021026611,,,
53,-2.5192478696505227,1.541737933953603,,,
54,-2.584535539150238,1.6434638500213623,,,
55,-2.516072928905487,1.6342761715253193,0.2828167293621308,0.23194023162968203,0.5147569609918128
