Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.1861165724274215,0.20698222993360013
fwd_pkt_len_mean,0.24953456216958875,0.23955924429753095
bwd_pkt_len_mean,0.1950959001001183,0.12358809086408924
fwd_pkt_len_max,0.08952572330398836,0.18468673373257743
bwd_pkt_len_max,0.3029256199196309,0.13318926549472243
pkt_len_min,0.11357065229297485,0.4113696465808929
fwd_pkt_len_min,0.0950753396500119,0.3950917730089333
pkt_len_var,0.05494260937599108,0.09958692863994717
pkt_len_std,0.2580007292527099,0.12080339653390734
fwd_byts_b_avg,0.11701164294807073,0.11266809325734284
flow_byts_s,0.033707109841776724,0.041327750444683065
flow_pkts_s,0.05353895966404802,0.11512479219312953
init_bwd_win_byts,0.3596841372305804,0.2641839392958505
init_fwd_win_byts,0.33755973297908587,0.2573577217290702
fwd_psh_flags,0.16999624642442548,0.13178837825370715
psh_flag_cnt,0.18637583344695244,0.10470853249487744
