Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.2424272340952109,0.14281936819677293
fwd_pkt_len_mean,0.1851101704192779,0.18944988173999253
bwd_pkt_len_mean,0.18122339658868858,0.07291650274497274
fwd_pkt_len_max,0.20310608586105677,0.1855052468455187
bwd_pkt_len_max,0.1946629861084784,0.11194128608202408
pkt_len_min,0.2371154412571177,0.29329933124796215
fwd_pkt_len_min,0.22510898365669887,0.30206441043349536
pkt_len_var,0.11013082904888381,0.06829355624091274
pkt_len_std,0.20275869602612645,0.15164023502588764
fwd_byts_b_avg,0.16314754638793197,0.0560814838321012
flow_byts_s,0.14302128007856577,0.036625371927770205
flow_pkts_s,0.07217504738066728,0.06749709516294168
init_bwd_win_byts,0.3326317979294142,0.21198104128996184
init_fwd_win_byts,0.3161752030296735,0.20779355520931855
fwd_psh_flags,0.12546656130043973,0.09652540086745909
psh_flag_cnt,0.15923440118741172,0.03694244273203255
