Category,Real_Samples,CTGAN_Samples,QGAN_Samples,Num_Features,Avg_CTGAN_JS,Avg_QGAN_JS,QGAN_Improvement_%
1,1025,2000,2000,16,0.2418350183702067,0.13448218616573643,44.390937643336684
2,666,2000,2000,16,0.290261004303406,0.19127236926581198,34.10331858912832
4,781,2000,2000,16,0.28545175175814863,0.17135220759480724,39.97156908674822
5,1361,2000,2000,16,0.1933434787722277,0.12375360436867186,35.99287384579319
7,651,2000,2000,16,0.305341313542401,0.21434522863203676,29.801432323283745
8,1861,2000,2000,16,0.05487375501980328,0.024759925136218833,54.87838379698405
9,1062,2000,2000,16,0.17516633568921097,0.12923584087185552,26.221074178800922
