Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.17019575416012778,0.16568730803303697
fwd_pkt_len_mean,0.1731609589083953,0.11635000253031731
bwd_pkt_len_mean,0.21722554453052031,0.13538008983257796
fwd_pkt_len_max,0.19106136711136945,0.12992729552669044
bwd_pkt_len_max,0.29421167496581774,0.17893902051863378
pkt_len_min,0.2776493174318349,0.13854487246336786
fwd_pkt_len_min,0.2448812391938105,0.22051156582282685
pkt_len_var,0.1501560370670565,0.12267025310169749
pkt_len_std,0.25060303752311097,0.1891757610087355
fwd_byts_b_avg,0.24483802284009554,0.02741659886217934
flow_byts_s,0.36458122626281725,0.08013093661203698
flow_pkts_s,0.10401125435507334,0.07099592765967812
init_bwd_win_byts,0.4078445546031725,0.28549731901713893
init_fwd_win_byts,0.37923195863943066,0.1372303219571005
fwd_psh_flags,0.17691934476021845,0.07312676909372799
psh_flag_cnt,0.22278900157045592,0.08013093661203696
