Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.23873379096549607,0.16089110382895494
fwd_pkt_len_mean,0.16885199273017484,0.18216809485471852
bwd_pkt_len_mean,0.2678514227258758,0.22336257560143372
fwd_pkt_len_max,0.22700236256939124,0.1308567320885101
bwd_pkt_len_max,0.3157273990939602,0.20385714313692888
pkt_len_min,0.3797915512231624,0.2772993171723097
fwd_pkt_len_min,0.37378296506130954,0.28151201947361704
pkt_len_var,0.16376163427369816,0.09348292239679368
pkt_len_std,0.27990999555938745,0.13031745610132603
fwd_byts_b_avg,0.36575588695598477,0.041344007362479965
flow_byts_s,0.24115201129739566,0.07244734506961893
flow_pkts_s,0.1578155740485691,0.09009503943741061
init_bwd_win_byts,0.49762519974956493,0.287726025505229
init_fwd_win_byts,0.48931981019794646,0.32692202733753134
fwd_psh_flags,0.1770810222477305,0.1788056865663774
psh_flag_cnt,0.22306540943073103,0.060547825583676294
