Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.3235824532554904,0.23487529209555252
fwd_pkt_len_mean,0.2554505275688911,0.34820922415561467
bwd_pkt_len_mean,0.27988022717472866,0.1922716303287351
fwd_pkt_len_max,0.22729524257648312,0.30046189921269406
bwd_pkt_len_max,0.45425970570934615,0.4367579183385838
pkt_len_min,0.3305770630027374,0.4621971978007372
fwd_pkt_len_min,0.4107800978820174,0.4395673029390056
pkt_len_var,0.14155818013062096,0.12436565475405645
pkt_len_std,0.22109441977048883,0.21362112122791213
fwd_byts_b_avg,0.12847039911051233,0.1625493252066291
flow_byts_s,0.1735971894339015,0.13969052128018733
flow_pkts_s,0.15919234870220342,0.24544151051388408
init_bwd_win_byts,0.5126998882068358,0.27002172108325717
init_fwd_win_byts,0.5221262627180159,0.3007340581113347
fwd_psh_flags,0.2690273584794656,0.21927927172502912
psh_flag_cnt,0.23458470513275737,0.20094450555245544
