Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.0708384170869319,0.03395314109107767
fwd_pkt_len_mean,0.02958443723978426,0.07900275858735833
bwd_pkt_len_mean,0.07223174013976821,0.01246181490282739
fwd_pkt_len_max,0.06350242903901657,0.04698576645167786
bwd_pkt_len_max,0.024398735846689345,0.024852438540278955
pkt_len_min,0.0544785410001404,0.10323219894546756
fwd_pkt_len_min,0.003511858208524699,0.13523016848749797
pkt_len_var,0.029761020982910405,0.0035612409778965036
pkt_len_std,0.03355027783231097,0.022911246002126268
fwd_byts_b_avg,0.08109783733529305,0.04068342358253389
flow_byts_s,0.040940870472651596,0.0035612409778963626
flow_pkts_s,0.04341017971067507,0.020415694771968137
init_bwd_win_byts,0.11908429948705604,0.07358803376730796
init_fwd_win_byts,0.1269574078511618,0.0844756673191912
fwd_psh_flags,0.04322954875838862,0.038721646731674435
psh_flag_cnt,0.041402479325549565,0.006533932752263687
