Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.03469299276479141,0.08444362115502844
fwd_pkt_len_mean,0.018461053803204484,0.11157790643623564
bwd_pkt_len_mean,0.04178921816715984,0.062226718656930594
fwd_pkt_len_max,0.018845705468976848,0.023636794125061998
bwd_pkt_len_max,0.04235780090770148,0.08307359415068793
pkt_len_min,0.019414057181265622,0.0843912286217777
fwd_pkt_len_min,0.044188273497220355,0.09757353529158166
pkt_len_var,0.016121543412764585,0.0202957392319522
pkt_len_std,0.022846701718071055,0.04987303746018055
fwd_byts_b_avg,0.03456326344657986,0.056324038431646496
flow_byts_s,0.023265563931785804,0.023669148186180197
flow_pkts_s,0.020975902422324347,0.031679739261244726
init_bwd_win_byts,0.04309549117137713,0.100698616661807
init_fwd_win_byts,0.027666215126935404,0.1031683685111425
fwd_psh_flags,0.04409021366093592,0.04787425955700459
psh_flag_cnt,0.04315855004491413,0.047690494696649516
