epoch,d_loss,g_loss,std_w1,corr_dist,score
1,5.610462080348622,0.06444893523373386,,,
2,3.819149147380482,-0.36532740972258826,,,
3,2.8814891901883213,-0.49847977540709754,,,
4,2.317641548135064,-0.4214572445912795,,,
5,-0.4240814068100669,-0.5344088050452146,0.5166770193163994,0.3016656418606153,0.8183426611770147
6,-1.461655687202107,-0.6667342809113589,,,
7,-0.5106925002553246,-1.680079384283586,,,
8,-1.7931023727763782,-0.525064079598947,,,
9,-2.8528971780430186,-0.16296026381579312,,,
10,-3.2197278521277686,-0.00021307970481840047,0.41249502589463627,0.33818329674746694,0.7506783226421032
11,-3.019693298773332,0.2774220820177685,,,
12,-2.8847086429595947,0.15238356774418868,,,
13,-2.933205712925304,-0.6750161918726835,,,
14,-2.821543400937861,-0.43894540992650116,,,
15,-2.5677990805019033,-0.824723956852474,0.3771635835369347,0.31728273552191794,0.6944463190588526
16,-2.631596164269881,-0.8894829262386669,,,
17,-2.5514277761632744,-0.6413577618924055,,,
18,-2.525892127643932,-0.5406721166589044,,,
19,-2.246041189540516,-0.04326011375947432,,,
20,-2.287600777365945,-0.8126517566428944,0.3377125666267412,0.3228349467587966,0.6605475133855379
21,-2.2525617317719893,-0.18107266317714343,,,
22,-2.222309551455758,-0.9523835222829472,,,
23,-2.070421825755726,-0.6544974830678918,,,
24,-2.0569938746365635,-0.7498478229072961,,,
25,-1.8472510305317966,-0.8911829536611383,0.28728079509411997,0.247132629216412,0.534413424310532
26,-1.724466860294342,-0.852955926548351,,,
27,-1.5502668023109436,-0.5483954061161388,,,
28,-1.541139992800626,-0.7432242929935455,,,
29,-1.363971160216765,-0.7724745828997005,,,
30,-1.3030632842670788,-0.5864360495047136,0.28206353815142254,0.23186415334264104,0.5139276914940636
31,-1.2734602960673245,-0.5182565166191622,,,
32,-1.3285199864344164,-0.13419051180509003,,,
33,-1.2835013134913011,-0.12058254940943285,,,
34,-1.2025539766658435,-0.23789473352107135,,,
35,-1.148406063968485,0.10652102462270042,0.23870904973976306,0.24324192183809493,0.481950971577858
36,-1.1388302445411682,0.15772788666866042,,,
37,-1.138513136993755,0.38156793486665597,,,
38,-1.1996223763986067,0.45148691128600726,,,
39,-1.120438199151646,0.6710063029419292,,,
40,-1.1231968727978794,0.8616544272411953,0.173460066282255,0.23623941048807007,0.40969947677032503
41,-1.1484560018235987,1.2549626664681868,,,
42,-1.0880738415501334,0.9982821629805998,,,
43,-1.1200834919105878,0.7696074735034596,,,
44,-1.194987416267395,1.0085933208465576,,,
45,-1.1330944137139753,1.3067546703598716,0.1953064753411159,0.24807801818062153,0.4433844935217374
46,-1.181930273771286,0.947156623005867,,,
47,-1.1240842694585973,0.8531680019064383,,,
48,-1.2561407739465886,0.7460416081276807,,,
49,-1.2270501120523973,0.8956167779185555,,,
50,-1.2130095985802738,0.6420033414932814,0.18794176346533162,0.28863731853785546,0.4765790820031871
51,-1.2784268964420666,0.8544541868296537,,,
52,-1.204113706946373,0.41583457081155345,,,
53,-1.2715367403897373,0.9392921382730658,,,
54,-1.2973911491307346,0.8855318664149805,,,
55,-1.293163922700015,0.8290433341806586,0.17947310677854342,0.2436512097642889,0.42312431654283233
56,-1.2763251039114865,0.7088324204087257,,,
57,-1.312750369310379,0.7482576343146238,,,
58,-1.2697991891340776,0.9882433414459229,,,
59,-1.2874085063284093,0.9999981346455488,,,
60,-1.2327479909766803,0.6205161837014285,0.19541961475707031,0.24306453454644594,0.43848414930351626
61,-1.245900790799748,0.7191418626091697,,,
62,-1.1798888553272595,0.847503968260505,,,
63,-1.2030452679504047,0.8840764266523448,,,
64,-1.2047857154499402,0.7628319934010506,,,
65,-1.1268825070424513,0.8466499840671365,0.22411602833421465,0.22781824144119414,0.4519342697754088
66,-1.1600724269043317,0.8265352249145508,,,
67,-1.0086371383883737,0.9317936545068567,,,
68,-1.081790710037405,1.2935455983335322,,,
69,-1.1475269794464111,1.411387798461047,,,
70,-1.0883732736110687,1.3528461402112788,0.24497175781763225,0.22043877855670752,0.46541053637433977
