category,epoch,d_loss,g_loss
8,1,-3.065573,4.00608
8,2,-2.124102,2.088711
8,3,-2.087779,1.65395
8,4,-1.894468,1.130028
8,5,-2.280438,0.914508
8,6,-2.684446,1.38563
8,7,-2.612266,0.684511
8,8,-2.878363,0.57157
8,9,-2.856563,0.903527
8,10,-2.889157,0.268077
8,11,-2.895175,0.884719
8,12,-2.855485,0.455012
8,13,-2.951879,0.11909
8,14,-3.034597,0.85494
8,15,-2.558507,0.581668
8,16,-3.051152,0.177224
8,17,-2.811117,0.198962
8,18,-2.824572,0.260214
8,19,-2.709734,0.306188
8,20,-2.588644,0.092976
8,21,-2.805992,0.457787
8,22,-2.952423,0.330082
8,23,-3.132565,0.119955
8,24,-2.786935,0.451644
8,25,-2.979004,0.905618
8,26,-3.092242,-0.084076
8,27,-2.928012,0.205146
8,28,-3.161527,0.540183
8,29,-3.104433,0.336736
8,30,-2.789426,0.261438
8,31,-2.959287,-0.296229
8,32,-2.827354,0.3615
8,33,-2.783253,0.105187
8,34,-2.938152,0.033586
8,35,-3.086066,-0.360388
8,36,-2.630382,0.065476
8,37,-2.633751,-0.281806
8,38,-3.009438,-0.267728
8,39,-2.872167,-0.333134
8,40,-2.605089,-0.233961
8,41,-2.930789,-0.281803
8,42,-3.126534,-0.16227
8,43,-2.997953,-0.099431
8,44,-2.920921,-0.220114
8,45,-2.89424,-0.434629
8,46,-2.800533,-0.538164
8,47,-2.656738,-0.158751
8,48,-2.94973,-0.407239
8,49,-2.956343,-0.162038
8,50,-2.877739,-0.390598
