category,epoch,d_loss,g_loss
6,1,-3.421586,1.739838
6,2,-3.589707,2.393975
6,3,-4.107328,4.56724
6,4,-3.981439,5.38988
6,5,-3.946355,4.970425
6,6,-3.872097,6.775065
6,7,-4.069993,5.367085
6,8,-4.401635,5.535726
6,9,-3.811938,5.481883
6,10,-4.544065,5.847239
6,11,-4.324937,5.727849
6,12,-3.918024,5.384334
6,13,-4.066243,5.565035
6,14,-4.258973,5.417047
6,15,-4.136759,5.094028
6,16,-4.114975,5.617028
6,17,-4.128845,5.130736
6,18,-4.433222,4.827847
6,19,-4.503154,4.810677
6,20,-3.802181,5.657977
6,21,-4.064178,5.069219
6,22,-4.131222,4.536479
6,23,-4.291232,5.233263
6,24,-4.1574,4.467203
6,25,-3.970586,4.566864
6,26,-4.339563,5.121807
6,27,-4.580903,5.022233
6,28,-4.489854,4.99316
6,29,-3.714796,4.917168
6,30,-4.340555,4.977172
6,31,-4.331805,4.724667
6,32,-4.102462,4.874248
6,33,-3.962026,5.042018
6,34,-4.191219,4.698389
6,35,-4.253841,4.809862
6,36,-4.129004,4.710959
6,37,-4.17129,4.800808
6,38,-4.186178,4.548081
6,39,-4.148668,4.164057
6,40,-4.546562,4.620328
6,41,-4.309541,4.570755
6,42,-4.130818,4.126855
6,43,-3.767371,4.310685
6,44,-4.05921,4.430605
6,45,-4.045537,4.437019
6,46,-4.288799,4.288652
6,47,-4.652308,4.684319
6,48,-4.468017,4.44096
6,49,-4.46404,4.794466
6,50,-4.061286,4.61509
