category,epoch,d_loss,g_loss
5,1,-2.592295,3.240142
5,2,-2.828704,2.211537
5,3,-2.225036,1.487807
5,4,-2.423055,1.425137
5,5,-2.644621,1.319548
5,6,-2.587439,0.880961
5,7,-2.673873,1.315373
5,8,-2.876464,0.627511
5,9,-3.005395,0.720512
5,10,-3.118166,0.944136
5,11,-3.363055,0.123338
5,12,-3.349843,0.385122
5,13,-3.450562,-0.095673
5,14,-3.017741,-0.335656
5,15,-3.37862,-0.388161
5,16,-3.594755,-0.532539
5,17,-3.643788,-0.608329
5,18,-3.158305,-0.833533
5,19,-3.354391,-0.539584
5,20,-3.155958,-0.557426
5,21,-3.497575,-0.881375
5,22,-3.382228,-0.760185
5,23,-3.53964,-0.770673
5,24,-3.233789,-0.707075
5,25,-3.319712,-0.682632
5,26,-3.769458,-0.213129
5,27,-3.162015,-0.900308
5,28,-3.650408,-0.739643
5,29,-3.497833,-0.69994
5,30,-3.455453,-0.326924
5,31,-3.233543,-0.410317
5,32,-3.658605,-0.633209
5,33,-3.403645,-0.33142
5,34,-3.664705,-0.404328
5,35,-3.57541,-0.64932
5,36,-3.795675,-0.490699
5,37,-3.550757,-0.634937
5,38,-3.684976,-0.510032
5,39,-3.61318,-0.409435
5,40,-3.907692,-0.693378
5,41,-3.265444,-0.439219
5,42,-3.277657,-0.798464
5,43,-3.488183,-0.712463
5,44,-3.691588,-0.682569
5,45,-3.692697,-0.587034
5,46,-3.544587,-0.626227
5,47,-3.376645,-0.770655
5,48,-3.529781,-0.788543
5,49,-3.310461,-0.352248
5,50,-3.676205,-0.498225
