epoch,d_loss,g_loss,std_w1,corr_dist,score
1,1.7312056115931935,1.2746119578886363,,,
2,-2.418770909309387,2.9985005723105536,,,
3,-1.892484767569436,2.269558118449317,,,
4,-1.6167446573575337,1.2160091631942325,,,
5,-1.4616264866458044,0.7974605378177431,0.40230388146397056,0.2397281234192842,0.6420320048832547
6,-1.511390381389194,0.8571299066146215,,,
7,-1.6766682200961642,1.2204461296399434,,,
8,-1.8609022862381406,1.645133501953549,,,
9,-1.9448203080230289,1.4829381704330444,,,
10,-1.9755719436539545,1.3213752971755133,0.3151370716717884,0.24906706200405082,0.5642041336758392
11,-2.0134689576096005,1.1951022148132324,,,
12,-2.0606393383608923,1.2159664067957137,,,
13,-2.123846325609419,1.1456742684046428,,,
14,-2.1080066363016763,1.1061760021580591,,,
15,-2.1724081304338245,1.1785812146133847,0.29799336370058216,0.24496010309826438,0.5429534667988465
16,-2.1658585402700634,1.1891932951079474,,,
17,-2.171665307548311,1.1601734889878168,,,
18,-2.1940911312898,1.2759207718902164,,,
19,-2.1999202999803753,1.2233287029796176,,,
20,-2.1794948644108243,1.3727392355600994,0.2932802214372709,0.24281937666099035,0.5360995980982612
21,-2.2273782855934567,1.3614082667562697,,,
22,-2.222286840279897,1.4225966235001881,,,
23,-2.2204610142442913,1.3998443682988484,,,
24,-2.2501552436086865,1.4227097365591261,,,
25,-2.24342766073015,1.3799780011177063,0.3078138683455105,0.2491846815139926,0.5569985498595031
26,-2.2632635268900128,1.4521215822961595,,,
27,-2.254570441113578,1.3481525116496615,,,
28,-2.260912981298235,1.369999388853709,,,
29,-2.2746834655602775,1.3765783045026991,,,
30,-2.2734676831298404,1.4541612201266818,0.31298379321335046,0.24258440677900758,0.5555681999923581
31,-2.2764571209748587,1.3886198070314195,,,
32,-2.3023632367451987,1.3687852621078491,,,
33,-2.2686212129063077,1.5067904260423448,,,
34,-2.277079986201392,1.5056949456532795,,,
35,-2.296404573652479,1.4896532032224867,0.3057179521051345,0.24958207132194263,0.5553000234270772
36,-2.2981314725346036,1.605227980348799,,,
37,-2.3336259159776898,1.5228150288263957,,,
38,-2.3177288903130426,1.5856439934836493,,,
39,-2.2944474352730646,1.624131401379903,,,
40,-2.329832229349348,1.435196320215861,0.3028202662703573,0.25772655442121967,0.5605468206915769
41,-2.320572386185328,1.5158576336171892,,,
42,-2.3212976488802166,1.5968947211901348,,,
43,-2.3240744604004755,1.4521586630079482,,,
44,-2.3333340220981174,1.4641967879401312,,,
45,-2.3404131134351096,1.4173823330137465,0.31164744720128,0.24591415720368792,0.5575616044049679
46,-2.325498382250468,1.365004625585344,,,
47,-2.3306102487776013,1.3519478142261505,,,
48,-2.3174914949470096,1.5615982347064548,,,
49,-2.3416457772254944,1.594354788462321,,,
50,-2.3275561928749084,1.64852194653617,0.322531062213444,0.23937740660928253,0.5619084688227265
