Target label: 5
Source file: /kaggle/input/datasets/houyujie30/qmlqgani/selected_features_train.csv
Epochs: 50
Batch size: 32
Last epoch losses:
D Loss: -4.358087
G Loss: 2.221902

Epoch log:
001	-1.865013	3.150664
002	-3.876785	4.383912
003	-3.737876	4.733497
004	-3.895250	3.657107
005	-4.339445	3.650068
006	-4.143174	3.044064
007	-3.851179	2.995738
008	-3.758930	2.314581
009	-3.958178	2.029370
010	-3.777823	2.448623
011	-4.353552	2.706615
012	-4.389861	2.182445
013	-3.944892	1.992672
014	-4.142037	1.651693
015	-4.136996	1.938962
016	-4.200076	2.346060
017	-4.199856	1.852272
018	-4.160237	2.174050
019	-4.402058	1.827230
020	-4.659217	1.814590
021	-4.284987	2.357686
022	-4.172393	1.586945
023	-4.570043	2.548419
024	-4.480839	1.527653
025	-4.602924	2.415390
026	-4.106907	2.196738
027	-4.406595	2.065043
028	-4.302253	1.997849
029	-4.233362	2.499111
030	-4.371387	2.777673
031	-4.707469	2.276618
032	-3.744965	2.065998
033	-4.296470	2.068107
034	-4.271959	2.230440
035	-4.115466	2.211516
036	-4.395781	2.276802
037	-4.324250	2.273599
038	-4.306243	1.731225
039	-4.154330	2.147621
040	-4.486529	2.491711
041	-4.470605	1.874825
042	-4.414786	2.441063
043	-4.754418	2.069929
044	-4.450687	2.202943
045	-4.237946	2.087911
046	-4.540536	2.133287
047	-4.337410	1.973512
048	-4.184853	1.765058
049	-4.164989	1.805141
050	-4.358087	2.221902
