Feature,ImportanceMean,ImportanceStd
flow_byts_s,0.0806888334202924,0.0013167213574186134
flow_duration,0.07330494527303408,0.0009358330344474162
flow_iat_max,0.07298319388716228,0.00043746868002511493
fwd_pkt_len_mean,0.05814681571182421,0.0004950007394150717
fwd_pkt_len_max,0.055136229366087766,0.0005272583084507836
bwd_pkt_len_max,0.04867209389647435,0.0006881323619147359
bwd_pkt_len_min,0.04674694096792482,0.0010838372428801637
pkt_len_max,0.04673468700658861,0.0008378664859493721
fwd_iat_mean,0.04165715840998558,0.00037109898263701217
fwd_iat_max,0.04156535111550852,0.00046658052298574257
fwd_pkt_len_min,0.0402087363022407,0.000982115225743491
pkt_len_min,0.037886256638780834,0.0005785451611865959
fwd_pkt_len_std,0.0351785778477319,0.0007723784570913702
bwd_pkt_len_std,0.033041135912586624,0.0007263417071519988
bwd_iat_tot,0.03118303550098763,0.0007129494097582663
down_up_ratio,0.03052474586079096,0.0005144982561656994
tot_bwd_pkts,0.026879482858678406,0.0007929071954405867
tot_fwd_pkts,0.02670385968347756,0.0006669947818502518
fwd_act_data_pkts,0.02486085038900828,0.0006624443491331123
fwd_psh_flags,0.023912384656181184,0.0013176297117754828
fwd_byts_b_avg,0.022501625051064393,0.0007034765872965649
bwd_byts_b_avg,0.021480636366124028,0.00027900343872971277
init_fwd_win_byts,0.020921716469435504,0.0007610832048691305
bwd_psh_flags,0.019542248557740505,0.0006353902274496946
fin_flag_cnt,0.009479444006497495,0.00017514349113921892
bwd_iat_min,0.009026712897950992,0.00030924464752799446
init_bwd_win_byts,0.007710672165346054,0.0002515453035231322
syn_flag_cnt,0.007097857117098867,0.000356077930283691
rst_flag_cnt,0.004596071166574611,0.00014776057531940264
flow_iat_min,0.0015711172208295698,6.095528715299624e-05
fwd_iat_min,5.658427599131804e-05,1.3689338447822904e-05
