flow_byts_s,flow_duration,flow_iat_max,fwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,bwd_pkt_len_min,pkt_len_max,fwd_iat_mean,fwd_iat_max,fwd_pkt_len_min,pkt_len_min,fwd_pkt_len_std,bwd_pkt_len_std,bwd_iat_tot,down_up_ratio,tot_bwd_pkts,tot_fwd_pkts,fwd_act_data_pkts,fwd_psh_flags,fwd_byts_b_avg,bwd_byts_b_avg,init_fwd_win_byts,bwd_psh_flags,fin_flag_cnt,bwd_seg_size_avg,totlen_bwd_pkts,pkt_len_mean,psh_flag_cnt,syn_flag_cnt,Label
139.129799643037,11.938492,9.663678,146.0,146,359,359,359,3.7453533333333335,10.142101,146,146,0.0,0.0,11.460069,0.75,3,4,4,0,0.0,0.0,0,0,0,359.0,1077,237.28571428571428,0,0,0
13231.888852133645,0.027207,0.026383,54.0,54,78,60,78,0.0136035,0.027207,54,54,0.0,8.48528137423857,0.026383,1.0,3,3,0,0,0.0,0.0,64240,1,3,66.0,198,60.0,1,0,0
195.32042423308908,5.570334,4.747916,146.0,146,325,325,325,2.5550305,5.110061,146,146,0.0,0.0,0.0,0.6666666666666666,2,3,3,0,0.0,0.0,0,0,0,325.0,650,217.6,0,0,0
1050.588441291851,0.268421,0.266829,54.0,54,60,60,60,0.1342105,0.268421,54,54,0.0,0.0,0.0,0.6666666666666666,2,3,0,0,0.0,0.0,65535,0,3,60.0,120,56.4,0,0,0
3276.053271474936,0.196578,0.196578,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
272.639409873529,7.181647,4.010246,178.0,178,0,0,178,0.7181647000000001,4.010246,178,178,0.0,0.0,0.0,0.0,0,11,11,0,544.0,0.0,0,0,0,0.0,0,178.0,0,0,0
1564.8805806581734,0.411533,0.411533,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
3673.089401077665,0.177235,0.177235,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1921.3728865644125,0.335177,0.335177,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1547.043081786691,0.416278,0.416278,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
3658.093247296192,0.176048,0.176048,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
6147.900930967856,0.102474,0.102474,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
1551.5604747196833,0.415066,0.415066,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1557.8134234062702,0.404413,0.404413,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
3280.7763824855447,0.196295,0.196295,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1249.6846680767665,0.51533,0.51533,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
340.7934222373553,3.336332,2.819604,211.0,341,359,145,359,1.668166,3.336332,146,145,91.92388155425118,107.0,0.0,0.6666666666666666,2,3,3,0,0.0,0.0,0,0,0,252.0,504,227.4,0,0,0
10501.316241272749,0.034948,0.034315,54.0,54,85,60,85,0.017474,0.034948,54,54,0.0,11.785113019775793,0.034315,1.0,3,3,0,0,0.0,0.0,63153,1,3,68.33333333333333,205,61.16666666666666,1,0,0
9548.340097824956,0.038436,0.037651,54.0,54,85,60,85,0.019218,0.038436,54,54,0.0,11.785113019775793,0.037651,1.0,3,3,0,0,0.0,0.0,63137,1,3,68.33333333333333,205,61.16666666666666,1,0,0
9763.494639389184,0.037589,0.036932,54.0,54,85,60,85,0.0187945,0.037589,54,54,0.0,11.785113019775793,0.036932,1.0,3,3,0,0,0.0,0.0,63153,1,3,68.33333333333333,205,61.16666666666666,1,0,0
9890.317190826529,0.037107,0.035689,54.0,54,85,60,85,0.0185535,0.037107,54,54,0.0,11.785113019775793,0.035689,1.0,3,3,0,0,0.0,0.0,63137,1,3,68.33333333333333,205,61.16666666666666,1,0,0
8850.833189182955,0.034686,0.033809,54.0,54,85,60,85,0.017343,0.034686,54,54,0.0,12.5,0.0,0.6666666666666666,2,3,0,0,0.0,0.0,63153,1,2,72.5,145,61.4,1,0,0
10329.299183788347,0.03553,0.035181,54.0,54,85,60,85,0.017765,0.03553,54,54,0.0,11.785113019775793,0.035181,1.0,3,3,0,0,0.0,0.0,63533,1,3,68.33333333333333,205,61.16666666666666,1,0,0
9601.800010465178,0.038222,0.037794,54.0,54,85,60,85,0.019111,0.038222,54,54,0.0,11.785113019775793,0.037794,1.0,3,3,0,0,0.0,0.0,63533,1,3,68.33333333333333,205,61.16666666666666,1,0,0
1254.128332721016,0.519883,0.519883,146.0,146,360,360,360,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,360.0,360,217.3333333333333,0,0,0
1294.6340501085026,0.486624,0.486624,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
1145.056584724908,0.538838,0.538838,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
1184.850518566694,0.578132,0.578132,146.0,146,393,393,393,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,393.0,393,228.3333333333333,0,0,0
