Feature,Wasserstein_Distance,KS_Statistic
bwd_pkt_len_mean,151.97299522468546,0.1872664279040797
pkt_len_min,41.2606372033245,0.26571907764974567
flow_pkts_s,388.49866674174336,0.2835727447316516
fwd_byts_b_avg,625432.7957916223,0.35760536696771517
fwd_pkt_len_mean,284.72584480416936,0.3679944591508357
fwd_psh_flags,237.8280633629191,0.3807565789473684
fwd_pkt_len_max,318.1620372270843,0.41653203830582375
psh_flag_cnt,287.3175931693138,0.4706688596491228
pkt_len_mean,348.8600937637211,0.47757870082009757
pkt_len_std,221.59492075663394,0.487494160697602
flow_byts_s,458221.0028234938,0.5396131786567009
pkt_len_var,193668.42508761917,0.5843973839925257
bwd_pkt_len_max,343.06168385457556,0.6225118083670715
fwd_pkt_len_min,168.3457290781688,0.7590866033426762
init_bwd_win_byts,43354.7082827242,0.7606697031039136
init_fwd_win_byts,44881.472395646786,0.781947472230873
