Target label: 1
Source file: /kaggle/input/datasets/houyujie30/qmlqgani/selected_features_train.csv
Epochs: 50
Batch size: 32
Last epoch losses:
D Loss: -3.192209
G Loss: 1.509000

Epoch log:
001	-2.386411	3.901749
002	-2.664036	4.327741
003	-2.525626	3.107885
004	-2.421612	2.878196
005	-2.494904	1.893039
006	-2.635672	2.940332
007	-2.226222	3.164027
008	-2.861122	2.232600
009	-2.775013	4.245746
010	-2.848204	3.683305
011	-3.011816	3.761416
012	-2.935930	2.989599
013	-3.151200	3.847714
014	-2.867624	2.622943
015	-2.896918	3.143207
016	-2.874750	3.418450
017	-3.045161	2.354846
018	-2.854228	2.793223
019	-2.668829	2.927739
020	-3.024364	2.344920
021	-3.141279	1.658921
022	-2.963159	2.708187
023	-2.929931	2.057045
024	-3.018680	2.060491
025	-3.075197	2.369862
026	-2.993267	2.459624
027	-3.036609	2.264450
028	-3.223221	2.861293
029	-2.903665	2.192231
030	-2.858333	2.365939
031	-3.246752	1.791137
032	-3.040413	2.165128
033	-2.939122	1.999450
034	-3.419759	2.476779
035	-3.226476	1.611589
036	-2.820755	1.983123
037	-3.191164	1.550533
038	-3.248349	1.991904
039	-3.314549	2.549930
040	-3.456567	1.463381
041	-3.064212	1.516211
042	-2.903556	1.480335
043	-3.065914	1.717752
044	-2.813421	1.380713
045	-3.217972	1.098446
046	-2.957906	1.591268
047	-3.205418	1.172831
048	-3.211618	1.544515
049	-2.727854	1.081928
050	-3.192209	1.509000
