Feature,Wasserstein_Distance,JS_Distance
fwd_byts_b_avg,9585.186827252926,0.08252558323985426
fwd_psh_flags,5.443497245436051,0.14344024776398562
flow_pkts_s,184.25168711488226,0.1864294878850366
psh_flag_cnt,9.990994060757467,0.22907652332765882
flow_byts_s,63874.15338054135,0.26115945182307365
fwd_pkt_len_mean,69.32617372030332,0.2766194735425968
pkt_len_min,6.015798444853036,0.2976389781979452
fwd_pkt_len_min,7.846633530381489,0.3391828581569821
fwd_pkt_len_max,388.0655279250032,0.3404751512226255
bwd_pkt_len_mean,183.74212795030945,0.3526807482522834
pkt_len_var,138541.84547574687,0.3559165031723618
init_fwd_win_byts,22391.846380878513,0.3731066420369555
bwd_pkt_len_max,359.9655886579913,0.40116490857023285
init_bwd_win_byts,20180.20718385607,0.421305819565888
pkt_len_mean,125.50924013548263,0.43197971605051066
pkt_len_std,200.32618856265472,0.4513586664264672
