bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
0.0,146,146,0,157,0,153.33333333333334,5.185449728701348,0.0,5.879929087032614,153.33333333333334,0,0.0,3,0,0,0
577.0,75,75,577,75,577,242.3333333333333,0.0,0.0,3475.259688421697,75.0,0,0.5,2,0,0,3
0.0,66,66,0,66,0,66.0,0.0,0.0,46.37533866293715,66.0,0,0.0,0,5,0,5
0.0,60,60,0,60,0,60.0,0.0,0.0,5.731702204104854,60.0,0,0.0,9,0,9,8
0.0,146,146,0,146,0,146.0,0.0,0.0,1130.6026783409566,146.0,0,0.0,3,0,0,0
325.0,146,146,325,146,325,205.66666666666663,0.0,0.0,1440.2831078368208,146.0,0,0.5,2,0,0,0
62.0,62,62,62,130,62,96.0,33.31306050185122,0.0,224.1790318657261,102.8,0,0.2,5,0,0,0
0.0,146,146,0,157,0,154.25,4.763139720814412,0.0,8.112215634629804,154.25,0,0.0,4,0,0,0
228.0,75,75,228,75,228,126.0,0.0,0.0,3612.903225806452,75.0,0,0.5,2,0,0,3
1314.5,62,62,76241,99,62,838.2978723404256,6.997519401743577,428.8620166327916,17643.120862094827,71.08333333333333,0,1.6111111111111112,36,0,0,0
62.0,62,62,62,62,62,62.0,0.0,0.0,16471.83846971307,62.0,0,0.5,2,0,0,0
0.0,62,62,0,146,0,133.07692307692307,30.30730183270524,0.0,22.004418614450955,133.07692307692307,0,0.0,13,0,0,0
0.0,146,146,0,146,0,146.0,0.0,0.0,1456.773247257325,146.0,0,0.0,4,0,0,0
54.4986301369863,54,60,19730,1514,54,924.7676174496644,156.6661334021136,6.717641732947839,141396.08087041613,1311.8887530562347,671,0.4452380952380952,834,0,0,6
486.2702702702703,54,54,17992,12000,60,888.8775510204082,4365.397082454241,588.1566553889407,19807.58604851051,2130.25,17,3.083333333333333,7,0,2,8
616.2105263157895,62,62,222452,85,62,525.1154734411085,7.171388948066089,130.6286737876201,37579.526459126864,68.375,0,5.013888888888889,72,0,0,0
71.0,62,62,355,62,71,66.0909090909091,0.0,0.0,229.3950691103921,62.0,0,0.8333333333333334,6,0,0,0
0.0,62,62,0,146,0,137.6,25.200000000000003,0.0,17.50584171591955,137.6,0,0.0,10,0,0,0
61.77777777777778,54,60,1112,1514,54,905.3924050632912,571.471804772166,6.303046490525703,28336.61165815887,1154.327868852459,22,0.2950819672131147,61,0,0,0
0.0,66,66,0,66,0,66.0,0.0,0.0,87.18306561417333,66.0,0,0.0,0,4,0,0
164.0,143,143,164,143,164,150.0,0.0,0.0,1430.9427050540896,143.0,0,0.5,2,0,0,0
54.0,54,114,16038,1514,54,1120.1506055818852,271.3774707184137,0.0,967180.0164023424,1321.0595690747782,737,0.1904466501240694,1600,0,0,3
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,5904.213388246272,54.0,1,1.0,0,0,3,0
69.11206896551724,62,62,16034,1480,62,1189.7372515125323,113.83292069152444,13.358628589355543,334352.76817731024,1470.8021621621622,0,0.2508108108108108,925,0,0,0
322.0,95,95,322,95,322,170.66666666666666,0.0,0.0,7524.98530276308,95.0,0,0.5,2,0,0,8
0.0,66,66,0,66,0,66.0,0.0,0.0,80.35913226747903,66.0,0,0.0,0,4,0,0
633.0,77,77,633,77,633,216.0,0.0,0.0,524.3383414522837,77.0,0,0.3333333333333333,3,0,0,8
1312.139465875371,54,54,881754,144,60,931.6913580246912,5.266820525544249,158.7459481975392,501075.0034754072,54.30927835051546,503,2.304054054054054,1,0,0,6
0.0,66,66,0,66,0,66.0,0.0,0.0,82.51952102419229,66.0,0,0.0,0,4,0,0
66.71428571428571,60,165,467,165,60,96.2,0.0,8.514093957572193,50.639822577433264,165.0,0,2.333333333333333,3,0,0,9
72.05882352941177,62,62,1225,590,62,380.0634920634921,198.84112384786323,19.08948151465277,8614.120912843546,493.89130434782606,0,0.3695652173913043,46,0,0,0
0.0,66,66,0,66,0,66.0,0.0,0.0,26.324294837952028,66.0,0,0.0,0,6,0,0
54.0,54,114,9396,1514,54,1154.6264626462646,308.1849219020516,0.0,708859.2282170616,1361.9056806002145,250,0.188235294117647,935,0,0,3
0.0,54,54,0,54,0,54.0,0.0,0.0,0.0,54.0,0,0.0,0,0,0,6
54.0,54,574,12474,1514,54,1001.7222820236814,192.50695707624263,0.0,769294.358838701,1315.3667621776503,412,0.330945558739255,698,0,0,3
824.8333333333334,54,54,4949,331,60,464.5,101.58480310667645,608.6127440517675,78174.52525875851,104.16666666666669,3,1.0,1,3,0,6
0.0,91,91,0,91,0,91.0,0.0,0.0,135.5053231752322,91.0,0,0.0,3,0,0,8
1310.266897746967,54,54,756024,269,60,996.7240932642488,18.01131435990597,205.55469570174765,1725590.4916115075,56.07853403141361,382,3.0,3,0,0,6
0.0,66,66,0,66,0,66.0,0.0,0.0,46.894663785155366,66.0,0,0.0,0,5,0,0
54.0,54,114,15120,1514,54,1145.520413182489,300.198065668668,0.0,1151483.1891229297,1321.3358166189112,680,0.1600447677672076,1769,0,0,3
0.0,146,146,0,146,0,146.0,0.0,0.0,4266.292635531497,146.0,0,0.0,4,0,0,0
324.85,54,54,6497,820,60,258.7027027027027,216.03291752250905,447.39158183855,155.8839827758296,180.8823529411765,15,1.1764705882352942,8,3,2,3
54.49742268041237,54,60,20983,1514,54,996.1159122085048,160.86880887961257,7.941311374522126,512439.2277972387,1340.1622641509434,754,0.3674976915974146,1073,0,0,6
66.0,54,54,198,54,60,60.0,0.0,8.48528137423857,4724.533452321583,54.0,1,1.0,0,0,3,3
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,16867.359132273188,54.0,1,1.0,0,0,3,6
659.0909090909091,54,54,7250,374,60,421.2,112.2963451578121,601.8360475238864,43759.90234019896,130.44444444444446,7,1.2222222222222223,3,3,0,7
54.0,54,254,24138,1514,54,975.7575945443274,167.51917989672202,0.0,835567.0653854995,1337.0243690165362,752,0.3919726729291204,1165,0,0,3
128.2941176470588,119,119,4362,164,123,132.58666666666667,15.407570162826683,4.991341984846217,129.04606086574776,136.14634146341464,0,0.8292682926829268,41,0,0,9
0.0,62,62,0,146,0,129.2,33.6,0.0,1405.8759521218717,129.2,0,0.0,5,0,0,0
1314.0,54,54,56502,54,1314,874.9090909090909,0.0,0.0,21484.3808134776,54.0,43,1.8695652173913044,0,0,0,6
58.375,54,60,934,1514,54,750.1764705882352,576.4861681261888,6.101997623729462,16437.498066631608,1066.428571428571,22,0.4571428571428571,35,0,0,0
60.0,60,103,60,103,60,88.66666666666667,0.0,0.0,87270.34120734908,103.0,2,0.5,2,0,0,3
54.0,54,114,2538,1514,54,1295.1302752293575,279.34265571391273,0.0,7920352.790682017,1412.2650602409635,81,0.0943775100401606,498,0,0,6
54.0,54,60,108,60,54,57.6,0.0,0.0,216867.4698795181,60.0,0,0.6666666666666666,3,0,3,1
54.0,54,114,24030,1514,54,985.8555748122473,211.4778655178506,0.0,1226992.7500674252,1313.1990558615264,809,0.3513513513513513,1285,0,0,3
117.5,54,54,235,176,60,128.2,57.51135153650586,57.5,1748.1897644989294,135.33333333333334,3,0.6666666666666666,2,0,0,6
0.0,66,66,0,66,0,66.0,0.0,0.0,87.65036270317704,66.0,0,0.0,0,4,0,9
0.0,66,66,0,66,0,66.0,0.0,0.0,87.47494621450514,66.0,0,0.0,0,4,0,0
114.0,76,76,114,76,114,88.66666666666667,0.0,0.0,749.0446864290561,76.0,0,0.5,2,0,0,9
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,178947.36842105264,55.0,0,0.5,2,0,0,2
0.0,146,146,0,146,0,146.0,0.0,0.0,1062.078230063603,146.0,0,0.0,3,0,0,0
60.0,60,66,60,66,60,65.14285714285714,0.0,0.0,59.21851815008621,66.0,0,0.1666666666666666,0,6,0,0
352.0,157,157,352,157,352,222.0,0.0,0.0,5020.693398466653,157.0,0,0.5,2,0,0,0
0.0,66,66,0,66,0,66.0,0.0,0.0,87.02657870828823,66.0,0,0.0,0,4,0,0
0.0,60,60,0,60,0,60.0,0.0,0.0,9.629660509929844,60.0,0,0.0,4,0,4,4
638.7692307692307,54,54,8304,63,60,373.75,4.00825594273611,644.5294233119175,1663.1580274537885,60.54545454545455,11,1.181818181818182,8,0,0,0
0.0,146,146,0,146,0,146.0,0.0,0.0,2709.8761994914344,146.0,0,0.0,3,0,0,0
0.0,66,66,0,66,0,66.0,0.0,0.0,197.0010078889949,66.0,0,0.0,0,3,0,0
57.88,54,60,1447,1514,54,556.1896551724138,662.2920936139466,5.544871504372306,9855.348571205115,933.6969696969696,33,0.7575757575757576,33,0,0,0
836.625,54,54,6693,283,60,446.4705882352941,80.91422069766915,612.4236559563975,1399.8444494323253,99.66666666666669,6,0.8888888888888888,2,3,0,6
0.0,62,62,0,146,0,132.0,31.304951684997057,0.0,20.28786456149503,132.0,0,0.0,12,0,0,0
0.0,146,146,0,146,0,146.0,0.0,0.0,560.116627023709,146.0,0,0.0,3,0,0,0
370.0,146,146,370,146,370,220.66666666666663,0.0,0.0,1819.8412174792727,146.0,0,0.5,2,0,0,0
518.0,115,115,518,115,518,249.3333333333333,0.0,0.0,1248.950163882966,115.0,0,0.5,2,0,0,8
65.82014388489209,62,62,9149,1514,62,963.188829787234,187.0364395158809,10.334862282418827,42746.68764190508,1489.493670886076,0,0.5864978902953587,237,0,0,0
54.0,54,314,22626,1514,54,927.4957020057308,177.6203974172821,0.0,817021.1507325661,1312.3908045977012,668,0.4403669724770642,975,0,0,3
54.0,54,114,13986,1514,54,1109.636420525657,264.82171565762553,0.0,767892.9845223624,1317.630664652568,623,0.197613721103654,1339,0,0,3
1149.0,146,146,1149,146,1149,480.3333333333333,0.0,0.0,3107.8539632147417,146.0,0,0.5,2,0,0,0
129.0,79,79,129,79,129,95.66666666666669,0.0,0.0,14948.695244543986,79.0,0,0.5,2,0,0,8
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,51173.991571342565,55.0,0,0.5,2,0,0,8
378.25,54,54,7565,2154,60,364.3142857142857,649.2026357172482,534.148001493968,2859.1609301074063,345.7333333333333,13,1.3333333333333333,6,3,2,4
239.1428571428572,54,54,1674,63,60,144.6,2.9764702249476644,438.8085910643008,774.2756292729734,61.875,8,0.875,7,0,0,0
54.0,54,426,54,426,54,302.0,0.0,0.0,5244.8159683227,426.0,2,0.5,2,0,0,3
0.0,62,62,0,146,0,135.5,27.7803887661782,0.0,15.070441593551276,135.5,0,0.0,8,0,0,0
93.24691358024693,54,60,7553,1514,54,1100.911708253359,465.3569712845618,47.76525181130599,143387.4767978901,1286.4136363636364,112,0.184090909090909,440,0,2,6
446.0,60,60,1784,848,85,415.27272727272725,389.95886753265006,361.0,225.0368800863298,397.7142857142857,7,0.5714285714285714,7,0,0,4
121.0,84,84,121,84,121,96.33333333333331,0.0,0.0,11628.842749074522,84.0,0,0.5,2,0,0,1
420.2083333333333,54,54,10085,9550,60,556.6052631578947,2431.1385843523053,578.7732701705297,14500.9111489252,790.4285714285714,11,1.7142857142857142,6,3,2,8
54.0,54,114,14310,1514,54,1121.623315758641,260.09346918953423,0.0,949590.0020871528,1318.4597620713787,691,0.184931506849315,1449,0,0,3
255.0,95,95,255,95,255,148.33333333333334,0.0,0.0,5017.872647519818,95.0,0,0.5,2,0,0,8
60.0,54,54,180,78,60,63.42857142857143,12.0,0.0,2579.700545571805,66.0,2,0.75,2,0,2,9
54.0,54,60,108,60,54,57.6,0.0,0.0,118811.88118811882,60.0,0,0.6666666666666666,3,0,3,8
334.0,146,146,334,146,334,208.66666666666663,0.0,0.0,1492.725941716921,146.0,0,0.5,2,0,0,0
54.0,54,114,24300,1514,54,957.6282689912828,186.93175829983232,0.0,903019.273318204,1313.744328097731,782,0.3924914675767918,1163,0,0,3
64.37931034482759,54,60,5601,1514,54,779.951048951049,522.7704567308148,29.9295115879326,63427.98177567981,1092.788944723618,121,0.4371859296482412,199,0,0,0
1268.577981651376,54,54,138275,571,60,892.1509433962265,81.27415579383153,357.8869765101257,83683.31165326042,71.54,51,2.18,3,3,0,9
0.0,146,146,0,146,0,146.0,0.0,0.0,3096.172198070194,146.0,0,0.0,5,0,0,0
62.0,62,71,62,71,62,68.0,0.0,0.0,482.1589375486,71.0,0,0.5,2,0,0,0
198.0,54,60,1980,1514,54,277.6923076923077,494.9138813975619,275.9822458057764,3392.3167314981306,327.5,10,0.625,16,2,2,8
59.34782608695652,54,60,1365,1514,54,888.1,554.8863554402612,6.104942371641079,17215.959499664747,1172.597014925373,25,0.3432835820895522,67,0,0,0
0.0,129,129,0,129,0,129.0,0.0,0.0,4762.725214138033,129.0,0,0.0,3,0,0,9
110.0,110,220,110,220,110,183.3333333333333,0.0,0.0,1488.9976609200382,220.0,0,0.5,2,0,0,0
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,303030.30303030304,55.0,0,0.5,2,0,0,8
54.34441805225653,54,60,66693,1514,54,970.825682250899,114.21646560445662,7.067344879938042,694725.631606441,1311.0412774932208,3237,0.3630625686059275,3556,0,0,6
0.0,62,62,0,146,0,134.0,29.39387691339813,0.0,999.3926931395632,134.0,0,0.0,7,0,0,0
54.69585253456221,54,60,11815,1514,54,935.0275103163686,174.34888619560223,10.226901875398893,346045.67345163546,1309.6,358,0.4254901960784313,510,0,0,6
518.5909090909091,62,62,11409,71,62,386.9032258064516,4.242640687119285,179.72318591021866,3437.0731061495067,65.0,0,2.4444444444444446,9,0,0,0
676.2,54,54,6762,1825,60,502.94444444444446,581.8977439164032,687.093850940321,10939.17658317786,286.375,4,1.25,2,3,0,5
0.0,146,146,0,146,0,146.0,0.0,0.0,275.7664560327217,146.0,0,0.0,4,0,0,0
499.0,80,80,499,80,499,219.66666666666663,0.0,0.0,2706.999174344713,80.0,0,0.5,2,0,0,6
73.33333333333333,62,62,1540,590,62,510.0939597315436,65.48234494884862,29.8318036319715,37169.98701075134,581.75,0,0.1640625,128,0,0,0
1456.3439119170985,54,54,2248595,528,60,1285.262202043133,94.27890501492848,214.2124151330453,202829.5604636444,73.56422018348624,190,7.08256880733945,9,0,0,5
0.0,66,66,0,66,0,66.0,0.0,0.0,86.81232064130629,66.0,0,0.0,0,4,0,0
69.33333333333333,54,60,208,100,54,73.5,19.595917942265423,21.684607956387456,15.771829902423873,76.0,3,0.6,5,0,2,4
1351.2551197500868,54,54,3892966,207,60,1166.144897351979,11.53783611975785,256.0604749805592,1949970.2983005848,55.09791666666667,1107,6.004158004158004,5,0,0,6
54.0,54,114,15768,1514,54,1108.148273910583,302.7026902772896,0.0,820353.8013729668,1316.7148703956343,597,0.197773411918795,1499,0,0,3
0.0,216,216,0,216,0,216.0,0.0,0.0,358.7348617209973,216.0,0,0.0,5,0,0,1
60.0,60,66,120,66,60,64.0,0.0,0.0,65.80062308392098,66.0,0,0.5,0,4,0,0
1280.8290598290598,54,54,149857,144,60,941.70987654321,22.44994432064365,265.2900457731039,485440.6313143366,60.0,79,2.6,3,0,0,6
1390.4545454545455,54,54,91770,522,60,1154.5185185185185,159.0894088240949,279.2393988556741,75054.71636177729,116.4,17,4.4,2,0,0,7
54.0,54,114,16794,1514,54,1210.2358182358182,299.04011070117457,0.0,2069415.4735882145,1331.9181091877497,1126,0.1079617834394904,3098,0,0,3
61.0,54,60,3660,1514,54,993.7931034482758,488.9849294688304,10.927030703718188,139100.58584417452,1237.1304347826087,72,0.2608695652173913,230,0,0,0
116.16666666666669,54,54,1394,9192,60,736.7777777777778,3266.3497975569,178.8783727067703,26421.01089951369,1978.0,7,2.0,5,0,0,3
540.0143884892086,82,82,75062,1262,90,729.9634862676616,293.45032544945,533.6125016819273,126441.78264533158,734.2496753246753,0,0.0232858990944372,6168,0,0,4
86.70833333333333,62,62,2081,1480,62,629.5909090909091,688.6104447880541,25.21652759380024,12171.877347970169,939.809523809524,0,0.5714285714285714,42,0,0,0
129.0,129,129,16383,129,129,129.0,0.0,0.0,5283.96102580295,129.0,0,5.291666666666667,24,0,0,9
71.0,71,71,71,71,71,71.0,0.0,0.0,25.731925285603232,71.0,0,0.5,2,0,0,2
66.0,54,54,198,54,60,60.0,0.0,8.48528137423857,3881.1087033862673,54.0,1,1.0,0,0,3,3
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,15920.527503036614,54.0,1,1.0,0,0,3,6
0.0,66,66,0,66,0,66.0,0.0,0.0,87.56067888713031,66.0,0,0.0,0,4,0,0
59.375,54,60,2850,1514,54,915.7053140096618,497.3687070875301,8.094815727777048,26446.857305342462,1174.2201257861636,70,0.3018867924528302,159,0,0,0
54.0,54,174,16632,1514,54,1112.048076923077,237.99164381062187,0.0,805790.0810287041,1323.7704280155642,754,0.2006410256410256,1560,0,0,3
0.0,66,66,0,66,0,66.0,0.0,0.0,87.41542392176055,66.0,0,0.0,0,4,0,0
54.30882352941177,54,60,7386,1514,54,1011.4461839530333,176.30987883836798,3.588205158986284,203788.7390584339,1358.568,229,0.3617021276595745,375,0,0,6
1327.4842105263158,54,54,252222,63,60,1190.3098591549297,4.286524363083909,393.3383801889156,110615.24319027526,57.130434782608695,49,8.26086956521739,8,0,0,0
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,15150.264200792602,54.0,1,1.0,0,0,3,7
0.0,146,146,0,146,0,146.0,0.0,0.0,14403.393676318256,146.0,0,0.0,4,0,0,0
