bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
94.23076923076924,54,54,1225,4458,60,410.77272727272725,1478.1071980370332,73.77007298789295,25794.353043259845,868.0,10,1.4444444444444444,7,0,0,5
270.0,78,78,270,78,270,142.0,0.0,0.0,25022.026431718063,78.0,0,0.5,2,0,0,1
66.0,54,54,198,54,60,60.0,0.0,8.48528137423857,48458.74276484049,54.0,1,1.0,0,0,3,6
1426.2772341813438,54,54,2186483,89,60,1256.8622069754144,4.0960450286273975,222.8563421440761,3938432.762284244,54.48611111111112,263,7.097222222222222,3,0,0,6
597.1428571428571,54,54,8360,1914,60,446.84,527.9766461151243,609.2035617031771,21593.066095542214,255.54545454545453,8,1.2727272727272727,4,3,2,3
254.1891891891892,64,71,37620,1292,64,273.4460966542751,433.5819100553813,345.286276669229,2107.184313383974,297.0,0,1.2231404958677683,121,0,0,1
0.0,85,85,0,85,0,85.0,0.0,0.0,134.6876039867531,85.0,0,0.0,3,0,0,3
54.0,54,314,14742,1514,54,1027.1534569983137,193.7872673546669,0.0,1069091.406927395,1318.1401971522453,561,0.2990142387732749,913,0,0,3
66.0,54,54,198,54,60,60.0,0.0,8.48528137423857,64389.19692362726,54.0,1,1.0,0,0,3,6
54.0,54,194,8478,1514,54,1012.23113964687,177.52344826427176,0.0,603188.2067341446,1335.068669527897,280,0.3369098712446352,466,0,0,6
1339.392694063927,54,54,879981,145,60,1215.8775790921595,15.160474926597784,328.23245253850075,2029715.2015724413,56.6,197,9.385714285714286,2,0,0,6
0.0,60,60,0,60,0,60.0,0.0,0.0,8.050275581058829,60.0,0,0.0,5,0,5,4
743.4545454545455,54,54,8178,405,60,469.1,119.80240934117568,627.6166119298055,15183.416381970866,133.77777777777777,8,1.2222222222222223,3,3,0,2
60.0,54,54,120,54,60,56.4,0.0,0.0,21355.547141234383,54.0,0,0.6666666666666666,0,0,3,6
0.0,66,66,0,66,0,66.0,0.0,0.0,197.24494634538985,66.0,0,0.0,0,3,0,0
54.0,54,314,22842,1514,54,991.8159173754556,192.854953080258,0.0,902170.6384803964,1322.4714167357083,765,0.3525588952071486,1223,0,0,3
54.0,54,114,17550,1514,54,1152.48801369863,285.75698940573614,0.0,1271047.729796251,1333.063531765883,792,0.1611969111969112,2041,0,0,3
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,371179.03930131,55.0,0,0.5,2,0,0,3
432.25,54,54,5187,3295,60,463.6666666666667,995.264578012758,554.5889055567797,23699.531704847486,505.55555555555554,8,1.3333333333333333,4,3,0,5
89.46666666666667,60,69,2684,185,60,102.3103448275862,51.78935947761896,28.275706101803287,1485.9306109969384,116.07142857142856,0,1.0714285714285714,28,0,0,9
54.0,54,434,3564,1314,54,885.3131313131313,105.08250289681766,0.0,48452.08828909609,1300.969696969697,132,0.5,132,0,0,6
598.3333333333334,54,54,7180,1874,60,456.3809523809524,568.5670964889514,633.140233720426,3524.093007521424,267.1111111111111,6,1.3333333333333333,2,3,2,5
54.230179028132994,54,60,20988,1514,54,945.1312083024462,151.8791980717462,4.545671583713132,668325.8549270763,1312.6716101694915,731,0.4126819126819127,960,0,0,6
94.0,78,78,94,78,94,83.33333333333333,0.0,0.0,8216.116734586565,78.0,0,0.5,2,0,0,5
0.0,86,86,0,86,0,86.0,0.0,0.0,83.09020859184963,86.0,0,0.0,3,0,0,2
91.0,75,75,91,75,91,80.33333333333333,0.0,0.0,8302.042784801406,75.0,0,0.5,2,0,0,9
657.0,83,83,657,83,657,274.3333333333333,0.0,0.0,4093.692331414985,83.0,0,0.5,2,0,0,8
624.6363636363636,54,54,6871,2039,60,500.45,618.440871151892,630.5286775580795,2210.5922019477243,348.6666666666667,7,1.2222222222222223,3,3,0,9
140.5,54,54,1405,337,60,155.52380952380952,116.54013602954616,98.61059780774072,44.83122594542549,169.1818181818182,11,0.9090909090909092,7,0,0,9
343.46666666666664,54,54,5152,268,60,238.5555555555556,70.84073490741201,494.0831059200017,4550.779235276911,107.41666666666669,11,1.25,5,3,2,5
699.0,54,54,4194,277,60,410.25,89.1099508098469,649.7925309922647,4633.95693611013,121.5,4,1.0,2,3,0,7
54.0,54,114,16686,1514,54,1227.1315380631795,306.5651497681127,0.0,2575485.109740641,1332.334958416977,1267,0.089065497396547,3607,0,0,3
54.0,54,314,10746,1514,54,1062.3784056508578,228.37107346222703,0.0,556656.6114331356,1322.0608808290156,412,0.2572509457755359,793,0,0,3
54.0,54,116,54,116,54,95.33333333333331,0.0,0.0,5494.716618635927,116.0,2,0.5,2,0,0,3
54.0,54,114,13122,1514,54,1096.840365682138,293.54833845564514,0.0,719669.6313817555,1314.9905982905982,479,0.2092827004219409,1182,0,0,3
54.0,54,314,17820,1514,54,1075.6994645247655,170.55746579850037,0.0,694467.8971888042,1373.8073234524848,619,0.293015332197615,1162,0,0,6
65.5,62,62,655,1372,62,533.3333333333334,575.9912045930866,5.73149195236284,12478.246628088087,958.6363636363636,0,0.9090909090909092,11,0,0,0
1412.9933110367892,54,54,844970,488,60,1246.1370262390672,146.0781801322285,306.2111267342514,25087.80658937249,112.27272727272728,83,6.795454545454546,12,3,0,7
