Feature,Wasserstein_Distance,KS_Statistic
flow_byts_s,33290.30008346405,0.2795404099751926
pkt_len_mean,129.8015132558003,0.38996267631949794
pkt_len_std,93.23150557733184,0.3904331617974796
bwd_pkt_len_mean,206.39492367229758,0.407489948719334
bwd_pkt_len_max,327.9302763916958,0.407489948719334
pkt_len_var,78800.86874396564,0.41142266704485597
flow_pkts_s,249.5520293181487,0.4619311965638802
fwd_pkt_len_max,863.6760217137289,0.6291921606764186
fwd_pkt_len_mean,288.3375642780285,0.63320817068943
init_fwd_win_byts,16270.560358960607,0.6336336336336337
init_bwd_win_byts,22695.744035499156,0.6396396396396397
fwd_pkt_len_min,38.642253974103035,0.6926063995029512
pkt_len_min,40.20969363960362,0.7396526961744353
psh_flag_cnt,9.963881748979079,0.7402402402402403
fwd_psh_flags,3.215273696027279,0.7717717717717718
fwd_byts_b_avg,17376.934232117048,0.9039039039039038
