Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.1861165724274215,0.1770408664879387
fwd_pkt_len_mean,0.24953456216958875,0.0855760147465284
bwd_pkt_len_mean,0.1950959001001183,0.12538353552177736
fwd_pkt_len_max,0.08952572330398836,0.11767050601769072
bwd_pkt_len_max,0.3029256199196309,0.17234865173495834
pkt_len_min,0.11357065229297485,0.04046490476388756
fwd_pkt_len_min,0.0950753396500119,0.2231498746281548
pkt_len_var,0.05494260937599108,0.10496677794358585
pkt_len_std,0.2580007292527099,0.17838857087438792
fwd_byts_b_avg,0.11701164294807073,0.02282778708496696
flow_byts_s,0.033707109841776724,0.041327750444683065
flow_pkts_s,0.05353895966404802,0.04800439241295758
init_bwd_win_byts,0.3596841372305804,0.3005527328392971
init_fwd_win_byts,0.33755973297908587,0.23387827069457715
fwd_psh_flags,0.16999624642442548,0.1397380218229372
psh_flag_cnt,0.18637583344695244,0.056454795931359734
