Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.3235824532554904,0.2992557136183049
fwd_pkt_len_mean,0.2554505275688911,0.17508455672968276
bwd_pkt_len_mean,0.27988022717472866,0.22978416380500927
fwd_pkt_len_max,0.22729524257648312,0.1457527698046301
bwd_pkt_len_max,0.45425970570934615,0.429644704474606
pkt_len_min,0.3305770630027374,0.23185329725147036
fwd_pkt_len_min,0.4107800978820174,0.2896815139479421
pkt_len_var,0.14155818013062096,0.13020545426868405
pkt_len_std,0.22109441977048883,0.22032443887900063
fwd_byts_b_avg,0.12847039911051233,0.019861555286623714
flow_byts_s,0.1735971894339015,0.12947748547918578
flow_pkts_s,0.15919234870220342,0.0991019729515071
init_bwd_win_byts,0.5126998882068358,0.2936094805210055
init_fwd_win_byts,0.5221262627180159,0.20472370754696462
fwd_psh_flags,0.2690273584794656,0.1028696840972786
psh_flag_cnt,0.23458470513275737,0.05912740959109602
