Feature,CTGAN,QGAN (Proposed)
pkt_len_mean,0.0708384170869319,0.030798129114534074
fwd_pkt_len_mean,0.02958443723978426,0.006048279500215284
bwd_pkt_len_mean,0.07223174013976821,0.01602445201248533
fwd_pkt_len_max,0.06350242903901657,0.012302850845733121
bwd_pkt_len_max,0.024398735846689345,0.020348358896136818
pkt_len_min,0.0544785410001404,0.05733131459645357
fwd_pkt_len_min,0.003511858208524699,0.003511858208524699
pkt_len_var,0.029761020982910405,0.0035612409778965036
pkt_len_std,0.03355027783231097,0.017516371412006453
fwd_byts_b_avg,0.08109783733529305,0.003935746952745029
flow_byts_s,0.040940870472651596,0.0035612409778963626
flow_pkts_s,0.04341017971067507,0.008194749102277764
init_bwd_win_byts,0.11908429948705604,0.10078774659210676
init_fwd_win_byts,0.1269574078511618,0.0958008648429221
fwd_psh_flags,0.04322954875838862,0.007993325615870192
psh_flag_cnt,0.041402479325549565,0.008442272531697274
