Feature,Wasserstein_Distance,KS_Statistic
flow_byts_s,14674.618734160456,0.2676056338028169
pkt_len_mean,84.56246573355949,0.29750987091915354
pkt_len_std,119.98011685389967,0.3029749831677064
pkt_len_var,166693.82723980796,0.31856152951717315
flow_pkts_s,293.3825414387924,0.3571366299069681
bwd_pkt_len_max,382.47086439892814,0.35813238743370807
bwd_pkt_len_mean,160.18234974356088,0.3803835767232225
fwd_pkt_len_min,35.06065198688184,0.5945386691091437
fwd_pkt_len_mean,397.6951200995053,0.6119087558387839
init_fwd_win_byts,18207.716675160875,0.6120358514724712
pkt_len_min,35.94235404427235,0.6262716128225839
fwd_pkt_len_max,782.873275342737,0.6365800140540461
init_bwd_win_byts,15681.69015614041,0.6542893725992317
psh_flag_cnt,9.969567950595714,0.706786171574904
fwd_psh_flags,7.782328447661706,0.7106274007682458
fwd_byts_b_avg,8148.031237986311,0.9628681177976952
