Feature,Wasserstein_Distance,JS_Distance
fwd_byts_b_avg,2744.1264565890137,0.03954344883983612
psh_flag_cnt,6.275497222167607,0.11715037853354977
fwd_psh_flags,1.4734037125524795,0.18691535302037607
flow_pkts_s,262.291306309317,0.20035744871326627
flow_byts_s,36627.9700375183,0.28440462762054886
fwd_pkt_len_mean,57.48809894724059,0.29395223063259857
pkt_len_var,90401.3492490285,0.2972263566424638
fwd_pkt_len_max,307.3248350969378,0.3066186438280453
pkt_len_min,4.0695437351932116,0.33997961802521764
init_fwd_win_byts,23482.94343660105,0.3843037995462556
fwd_pkt_len_min,5.590107454275115,0.38996765890717616
pkt_len_std,131.58831061642888,0.41775553056349585
bwd_pkt_len_max,279.6540798217065,0.41975878519979887
init_bwd_win_byts,22531.021575025283,0.455948506579044
pkt_len_mean,115.83255761609962,0.4635831596281647
bwd_pkt_len_mean,133.2589362127233,0.47056223892232785
