Feature,PermImpMean,PermImpStd,ImpurityImp
bwd_seg_size_avg,0.00833655816277297,0.004022983618223273,0.028293344316950134
pkt_len_min,0.0069483441723223825,0.003877964363043978,0.01892289928540707
fwd_pkt_len_min,0.004929018484952863,0.0018210226588230012,0.019710529165170593
totlen_bwd_pkts,0.004925767152713345,0.0037101893154531354,0.019364244684216016
fwd_pkt_len_max,0.004356438315107988,0.003033759674483124,0.026952378591544524
bwd_pkt_len_min,0.004216856195480373,0.0011482750405335045,0.023248947567952167
pkt_len_mean,0.003372930121630149,0.0017849548027211194,0.028837860377191618
fwd_pkt_len_std,0.0033270390941734867,0.002383384129514824,0.01810066513685539
bwd_pkt_len_std,0.0032813010623091387,0.0008981838933061423,0.014103644598077923
flow_byts_s,0.0030261801894124916,0.0007305516004100995,0.03216180380704304
fwd_pkt_len_mean,0.0030009990485482226,0.001289671980476007,0.025106930066261954
psh_flag_cnt,0.0027640921946173345,0.002141700882465888,0.014578868536651501
down_up_ratio,0.0025720684019603425,0.0012324815968236939,0.011983299663711915
fwd_act_data_pkts,0.002279437376846505,0.00136448341426559,0.011730947058883499
init_bwd_win_byts,0.00189826999749535,0.0014928903253421475,0.003877399332064794
pkt_len_std,0.0017752951597684835,0.001550579102861601,0.023278872697913035
flow_iat_std,0.0016290762622679894,0.0014144093175978629,0.0288773053688239
init_fwd_win_byts,0.0012832596257429218,0.0006683525075316483,0.011313279606927908
bwd_iat_tot,0.0010915426189913257,0.001879167603473838,0.012356961297305314
syn_flag_cnt,0.0010624418473936387,0.0015318300235488986,0.003280660353002895
fwd_iat_max,0.0010433593131080692,0.0006559189727168616,0.01699428927961669
fin_flag_cnt,0.0009528282626020595,0.0007284420632509189,0.004863943275093847
bwd_blk_rate_avg,0.0008911612397924012,0.0013045725226897677,0.009425727865226958
bwd_iat_mean,0.0006401704053107915,0.0009494059856573178,0.009754605068766327
totlen_fwd_pkts,0.000579420326725627,0.0011788700798266224,0.022383851185850748
fwd_byts_b_avg,0.0005673722155470795,0.0005905759630623524,0.012190459876410917
bwd_psh_flags,0.0004653407668729237,0.0010089011532957797,0.008627777820273089
bwd_iat_min,0.00046189160410574636,0.0002299211435132692,0.003938783856431398
fwd_iat_mean,0.00040635990150724165,0.0005825331880874938,0.014973607811574469
rst_flag_cnt,8.069574596552553e-05,0.0005130129257361267,0.001791511127051858
fwd_iat_min,2.488282051110735e-06,4.97656410222147e-06,2.3301084847500027e-05
flow_iat_min,-3.615065534245954e-06,0.00010691632565674962,0.0007428587943769538
flow_duration,-0.0003994733401027517,0.0013722795600541167,0.031151038268261724
flow_iat_max,-0.00041570328547143877,0.0011858087643556922,0.02908544675995828
