category,epoch,d_loss,g_loss
3,1,-2.901081,3.978677
3,2,-3.598526,4.815334
3,3,-3.495089,4.137728
3,4,-2.703418,3.049849
3,5,-3.332559,3.592274
3,6,-3.29311,4.743948
3,7,-3.552202,4.545437
3,8,-3.464432,4.241715
3,9,-4.436735,5.151742
3,10,-3.94613,4.462404
3,11,-3.896239,3.996433
3,12,-3.599456,4.237814
3,13,-3.660741,4.998636
3,14,-3.733117,4.48122
3,15,-4.069963,5.848546
3,16,-3.851789,4.853014
3,17,-4.177055,5.568442
3,18,-3.632917,5.567695
3,19,-3.743221,6.87956
3,20,-4.188129,4.918018
3,21,-4.070442,5.251758
3,22,-4.369024,4.934811
3,23,-4.166077,5.244327
3,24,-3.81594,5.369995
3,25,-4.141918,5.601945
3,26,-4.229034,5.683366
3,27,-4.226846,4.97824
3,28,-3.825849,5.752589
3,29,-4.354801,4.818058
3,30,-4.239251,5.567404
3,31,-4.613772,5.875008
3,32,-4.177577,5.032535
3,33,-4.325908,4.956386
3,34,-3.668991,4.827809
3,35,-3.731328,5.690028
3,36,-3.86816,5.020927
3,37,-4.007429,5.222273
3,38,-4.281353,5.528056
3,39,-3.937735,4.956648
3,40,-4.446394,5.394874
3,41,-4.422027,5.624966
3,42,-4.323361,5.004579
3,43,-4.389904,5.295957
3,44,-4.670045,5.4179
3,45,-4.41368,4.757015
3,46,-4.312452,5.143338
3,47,-4.446133,5.31674
3,48,-4.403501,4.867218
3,49,-4.254978,4.912863
3,50,-4.186339,5.299101
