category,epoch,d_loss,g_loss
9,1,-1.597445,2.028814
9,2,-2.94873,4.132664
9,3,-2.824674,2.290076
9,4,-2.411285,0.712189
9,5,-2.171306,0.909801
9,6,-2.394473,1.235973
9,7,-2.315263,1.374348
9,8,-2.51368,1.658499
9,9,-2.26237,0.719997
9,10,-2.730587,1.074723
9,11,-2.621347,1.851869
9,12,-2.787874,1.670424
9,13,-2.885381,1.270187
9,14,-2.502427,1.50868
9,15,-2.542641,0.623033
9,16,-3.355931,0.691814
9,17,-2.835541,0.696159
9,18,-3.054771,0.880883
9,19,-3.11349,0.660731
9,20,-2.985476,0.865491
9,21,-3.142327,0.814212
9,22,-3.324578,0.239874
9,23,-3.171763,0.408991
9,24,-2.624207,0.289823
9,25,-2.966814,0.42537
9,26,-3.055789,0.28753
9,27,-2.853645,0.304576
9,28,-3.145157,0.326708
9,29,-2.870657,0.884556
9,30,-2.829023,0.885199
9,31,-3.138095,1.082573
9,32,-2.941773,0.691875
9,33,-3.207313,0.115903
9,34,-3.024945,0.012658
9,35,-2.939847,0.372751
9,36,-3.063849,0.368335
9,37,-2.902657,0.329876
9,38,-2.972448,0.365767
9,39,-2.609617,0.085724
9,40,-3.327926,0.641962
9,41,-3.332352,0.579545
9,42,-2.868602,0.626254
9,43,-2.981633,0.773892
9,44,-3.306851,0.128366
9,45,-2.919867,0.346916
9,46,-3.36346,0.238984
9,47,-3.142337,0.323379
9,48,-3.151971,0.028003
9,49,-3.034992,0.005277
9,50,-2.888515,0.339305
