category,epoch,d_loss,g_loss
7,1,-0.929318,1.441675
7,2,-1.848469,2.468159
7,3,-2.669008,3.526541
7,4,-2.745866,3.00551
7,5,-2.19798,2.029492
7,6,-2.062436,1.519793
7,7,-1.970515,2.078757
7,8,-2.046068,1.457074
7,9,-2.190107,2.163527
7,10,-1.83064,2.133518
7,11,-2.441974,1.974208
7,12,-2.343382,1.207726
7,13,-2.417834,1.949195
7,14,-2.991857,2.995756
7,15,-2.943551,2.977597
7,16,-3.169351,3.880456
7,17,-2.993406,3.422996
7,18,-3.035197,3.390457
7,19,-3.363281,3.418687
7,20,-3.096974,3.131448
7,21,-3.320574,3.330738
7,22,-3.38374,2.760575
7,23,-3.007236,3.192529
7,24,-3.258957,2.577968
7,25,-3.417328,2.591766
7,26,-3.354331,2.704134
7,27,-3.346259,3.525348
7,28,-3.19559,1.938935
7,29,-3.346442,2.504138
7,30,-3.317386,2.178828
7,31,-3.198827,1.630179
7,32,-3.296809,2.416826
7,33,-3.07148,2.215787
7,34,-2.955976,2.745041
7,35,-3.289873,2.420484
7,36,-3.281657,1.719115
7,37,-3.312865,1.614854
7,38,-3.595803,2.078367
7,39,-3.502392,2.749588
7,40,-3.387032,2.312548
7,41,-3.444827,1.904279
7,42,-3.497592,1.633976
7,43,-3.140112,1.58874
7,44,-3.075606,1.883472
7,45,-2.89317,1.308159
7,46,-3.298843,2.060143
7,47,-3.403565,1.562645
7,48,-3.28419,1.692647
7,49,-3.18775,1.278524
7,50,-3.317374,1.559522
