Feature,ImportanceMean,ImportanceStd
pkt_len_mean,0.05874425188503146,0.0013344579090288423
fwd_pkt_len_max,0.05793172590021269,0.0006888945932946077
flow_byts_s,0.05746353983094401,0.0008774691686045689
fwd_pkt_len_mean,0.056994410917342496,0.0008207454653038191
flow_pkts_s,0.052355044459383236,0.0006176638337381375
flow_duration,0.05172159675866859,0.0005318050585726022
flow_iat_max,0.051227637493996926,0.0005258936603902013
fwd_pkt_len_min,0.04861208730535981,0.0010086779056748098
flow_iat_mean,0.047832486865054806,0.00035467225758165695
pkt_len_min,0.047623408917033636,0.0009956472433561873
bwd_pkt_len_mean,0.04146954280023516,0.0004797388848653596
pkt_len_var,0.03683135144433774,0.00046376861442627617
pkt_len_std,0.035821380816635454,0.00013848606541641475
bwd_pkt_len_max,0.030194994894712796,0.0009542586735791044
bwd_pkt_len_min,0.027674566946045816,0.00041478601598502374
psh_flag_cnt,0.024141688079552113,0.0018894530916303636
bwd_pkt_len_std,0.021875320425235156,0.0006401720006680004
tot_fwd_pkts,0.021717746234457318,0.0005835470454778667
bwd_iat_tot,0.020766022547611153,0.0004747085238917045
down_up_ratio,0.01945974646696682,0.0003762052095351855
bwd_iat_max,0.01935953625086164,0.00020443076844616878
init_fwd_win_byts,0.01879337576494742,0.0002419871657426449
fwd_psh_flags,0.018471550046397132,0.0007672697601263342
bwd_iat_mean,0.017453353976699143,0.0003614061000596909
tot_bwd_pkts,0.016825849902463552,0.0004981274496269914
fwd_byts_b_avg,0.016081545330000675,0.0012219462508793269
bwd_byts_b_avg,0.014808304140840911,0.0002530855594431086
bwd_blk_rate_avg,0.013966690517002125,0.00035322600634659214
bwd_psh_flags,0.012347260651202011,0.00018483757229293917
syn_flag_cnt,0.009124731233672459,0.0005109263722563367
fin_flag_cnt,0.008941767414065622,0.00013802147339219816
init_bwd_win_byts,0.00628044155131489,0.0001291243994195146
bwd_iat_min,0.005950022896588498,0.0001229734434901462
fwd_blk_rate_avg,0.005696633167123023,0.000492167693046241
rst_flag_cnt,0.004010004437615818,0.0002476850592974973
flow_iat_min,0.0013859419532110155,0.00012727460165096652
fwd_iat_min,4.443977717678714e-05,1.60889552186693e-05
