flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label,Label_Name
0.010927,23153.65608126659,274.5492815960465,183.03285439736436,91.51642719868217,2,1,158,95,79,79,79.0,0.0,95,95,95.0,0.0,95,79,84.33333333333333,7.542472332656507,56.88888888888889,40,20,2,0.0054635,0.010927,0.0,0.0054635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,84.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,95.0,2,1,158,95,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,164,0,82,82,82.0,0.0,0,0,0.0,0.0,82,82,82.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,82.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,2,0,164,0,0,Bittorent
0.450052,606.5965710628994,6.665896385306587,4.4439309235377245,2.2219654617688622,2,1,150,123,75,75,75.0,0.0,123,123,123.0,0.0,123,75,91.0,22.62741699796952,512.0,40,20,2,0.225026,0.450052,0.0,0.225026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,91.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,123.0,2,1,150,123,0,Bittorent
0.01437,19345.85942936673,208.76826722338205,139.17884481558804,69.58942240779402,2,1,164,114,82,82,82.0,0.0,114,114,114.0,0.0,114,82,92.66666666666669,15.084944665313014,227.5555555555556,40,20,2,0.007185,0.01437,0.0,0.007185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,92.66666666666669,0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,114.0,2,1,164,114,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,150,0,75,75,75.0,0.0,0,0,0.0,0.0,75,75,75.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,2,0,150,0,0,Bittorent
0.749264,421.74720792671206,4.003929189177646,2.669286126118431,1.3346430630592154,2,1,150,166,75,75,75.0,0.0,166,166,166.0,0.0,166,75,105.33333333333331,42.89781139198388,1840.222222222222,40,20,2,0.374632,0.749264,0.0,0.374632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,105.33333333333331,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,166.0,2,1,150,166,0,Bittorent
0.151668,54737.98032544769,131.8669725980431,59.34013766911939,72.5268349289237,9,11,1370,6932,571,54,152.22222222222223,176.08506642326017,1514,60,630.1818181818181,573.37451162265,1514,54,415.1,501.3082784076081,251309.98999999996,180,220,3,0.0079825263157894,0.041347,0.0,0.0122126705962051,0.151668,0.041347,0.0,0.0189585,0.0128629470573426,0.135202,0.042628,0.0,0.0135202,0.0144385597536596,3,5,0,3,0,8,18,1.2222222222222223,415.1,64240,65535,0.0,0.0,4714.0,5.0,0.0,208473.3769679816,152.22222222222223,630.1818181818181,9,11,1370,6932,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,306,0,153,153,153.0,0.0,0,0,0.0,0.0,153,153,153.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,153.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,2,0,306,0,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,306,0,153,153,153.0,0.0,0,0,0.0,0.0,153,153,153.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,153.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,2,0,306,0,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,306,0,153,153,153.0,0.0,0,0,0.0,0.0,153,153,153.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,153.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,2,0,306,0,0,Bittorent
