Feature,Wasserstein_Distance,JS_Distance
fwd_byts_b_avg,23277.85746700876,0.0600268748344293
flow_byts_s,64127.36502105545,0.08308137828800391
pkt_len_min,6.020801330771505,0.12308072086278364
flow_pkts_s,293.8085122228332,0.13896438500630856
psh_flag_cnt,10.940834911506558,0.17107482475425728
pkt_len_var,163379.12337602128,0.19316432482431983
fwd_pkt_len_mean,68.48832796300893,0.20437003923646707
fwd_psh_flags,11.69769604089201,0.24561045462840123
fwd_pkt_len_max,518.9375247121937,0.2698602408611249
bwd_pkt_len_mean,182.96845953638305,0.3157170918130363
fwd_pkt_len_min,44.846542419564855,0.34069161271087106
bwd_pkt_len_max,390.2424957279907,0.3586854829411754
pkt_len_mean,133.19567280012947,0.4086555064567546
pkt_len_std,185.5978506399975,0.4225526484620045
init_fwd_win_byts,35760.25725046541,0.5257197114406101
init_bwd_win_byts,22768.198600020285,0.5680620157962536
