epoch,d_loss,g_loss,std_w1,corr_dist,score
1,5.148070498516685,0.30193569097254014,,,
2,0.09949036844466862,0.6670055091381073,,,
3,-1.0620776226646023,1.707806838883294,,,
4,-2.1296108961105347,2.278216997782389,,,
5,-2.263308932906703,1.4970541795094807,0.4112146833035128,0.2623520540447217,0.6735667373482346
6,-2.313418752268741,0.8533123764726851,,,
7,-2.2917026971515857,0.576940710345904,,,
8,-2.344914248115138,0.27725182804796433,,,
9,-2.374999472969457,0.3351285457611084,,,
10,-2.4340748661442806,0.414016527020269,0.3009057120808491,0.26262985312432396,0.563535565205173
11,-2.475246780797055,-0.005953701419962777,,,
12,-2.5250715456510844,0.12514223054879242,,,
13,-2.564562207774112,0.26785512930817074,,,
14,-2.6431228738082084,0.2008531087388595,,,
15,-2.6627212574607446,0.3062550259961022,0.3229676460721893,0.2561307128066607,0.5790983588788501
16,-2.6737608031222693,0.35884930193424225,,,
17,-2.6588906614403975,0.4974927173720466,,,
18,-2.630213693568581,0.22495288650194803,,,
19,-2.681090894498323,0.34863248467445374,,,
20,-2.7104479262703345,0.41201196362574893,0.30539915863695954,0.22526328131674372,0.5306624399537032
21,-2.729292894664564,0.5621198730336295,,,
22,-2.7888176692159554,0.45910118685828316,,,
23,-2.8279766910954525,0.5934884349505106,,,
24,-2.827864646911621,0.6568488093713919,,,
25,-2.8294028482939066,0.4527216971748405,0.3058551057743365,0.24803600262369596,0.5538911083980325
26,-2.829038519608347,0.32489118973414105,,,
27,-2.821063179718821,0.40200137854036355,,,
28,-2.8442522726560893,0.4379921733505196,,,
29,-2.825967838889674,0.09318014317088658,,,
30,-2.8610081923635384,0.07463863533404139,0.3076307180248601,0.24344417164822543,0.5510748896730855
31,-2.8698832235838236,0.12173388484451506,,,
32,-2.886600695158306,0.268778750879897,,,
33,-2.9686584347172786,0.13053475858436692,,,
34,-2.8847367638035823,0.029562730859551165,,,
35,-2.9205079831575094,0.22190547941459549,0.2930859311291124,0.23671097813029449,0.5297969092594069
36,-2.9370626399391577,-0.01754764301909341,,,
37,-2.9187496712333276,-0.03304565532339944,,,
38,-2.948520020434731,-0.11993697057995531,,,
39,-2.8755255121933785,-0.03659291968991359,,,
40,-2.935334657367907,-0.09602446067664358,0.2669179507548848,0.25083171091597356,0.5177496616708583
41,-2.901168283663298,0.10749686095449659,,,
42,-2.865344210674888,0.22157493399249184,,,
43,-2.9268140416396293,-0.08773991879489687,,,
44,-2.933896679627268,-0.06638211384415627,,,
45,-2.9800744684118974,0.04665793230136236,0.3122501328708771,0.2393225094629883,0.5515726423338654
46,-2.91638193632427,-0.12387581086821026,,,
47,-2.9424507241500053,-0.22765611422558626,,,
48,-2.8570892057920756,-0.11530238224400415,,,
49,-2.936153537348697,-0.0076475780871179365,,,
50,-3.022658661792153,-0.0958333546295762,0.29978503468805295,0.2636013322587681,0.5633863669468211
51,-2.948510345659758,-0.07188466191291809,,,
52,-2.991808251330727,0.06194296292960644,,,
53,-2.950262797506232,-0.11451448582940632,,,
54,-2.9730943629616187,-0.1928881439897749,,,
55,-3.006761588548359,-0.021758044759432476,0.2722334595436041,0.23484882631130963,0.5070822858549138
56,-2.9909161642978064,-0.03632688025633494,,,
57,-3.038395091107017,0.14534842864506775,,,
58,-3.0350356603923596,0.13350884947511885,,,
59,-3.023015411276566,0.09147117328312662,,,
60,-3.0881109990571676,0.26384181943204665,0.28569526558570724,0.23866378714903508,0.5243590527347424
61,-3.0908709952705786,-0.0019277146913939053,,,
62,-3.057736446982936,0.033973119325108,,,
63,-3.0125596272317985,-0.19729953673150805,,,
64,-3.1081195505041825,0.07080604135990143,,,
65,-3.127244560342086,-0.1904204467104541,0.31299366393833816,0.22683569049716673,0.5398293544355048
66,-3.054827250932392,-0.0019102622237470415,,,
67,-3.090796683963976,-0.03811764924062623,,,
68,-3.0388919303291724,0.23104452093442282,,,
69,-3.0303326531460413,0.2870669811964035,,,
70,-3.043528757597271,-0.07403540342218345,0.2871583243738542,0.22595553366217613,0.5131138580360304
71,-3.0933176341809725,-0.16490398223201433,,,
72,-3.0314222386008813,0.021311510768201616,,,
73,-3.0425224931616532,0.03404508655269941,,,
74,-3.060310828058343,0.01801066721479098,,,
75,-3.0834634680497017,-0.07321553511752023,0.3252918519943123,0.22909021571867969,0.554382067712992
76,-3.0660948376906547,-0.10116769652813673,,,
77,-3.094890456450613,-0.028499250610669453,,,
78,-3.051333038430465,-0.0060888007283210754,,,
79,-3.095597593407882,0.08229946179522409,,,
80,-3.0444857321287455,0.06514449790120125,0.3175464684937239,0.23767229479778268,0.5552187632915067
81,-3.019198731372231,-0.04958706804447704,,,
82,-3.045628397088302,-0.026197064254018996,,,
83,-3.0987774196423983,0.2240601529677709,,,
84,-3.1053489509381746,0.22165881345669428,,,
85,-3.053006096890098,0.06420653954976135,0.28952928818268514,0.2529613669153544,0.5424906550980395
